agency_name,fiscal_year,budget_amount,actual_amount,variance_amount,variance_pct,risk_flag
DEPARTMENT OF SANITATION,2023,2048817181.0,1919278000.0,-129539181.0,-6.32,ON TRACK
DEPARTMENT OF SMALL BUSINESS SERVICES,2023,594261467.0,364135000.0,-230126467.0,-38.72,SIGNIFICANT UNDERSPEND
DEPARTMENT OF SOCIAL SERVICES,2023,11433932027.0,11126992000.0,-306940027.0,-2.68,ON TRACK
DEPARTMENT OF TRANSPORTATION,2023,1310816482.0,1385386000.0,74569518.0,5.69,AT RISK
FIRE DEPARTMENT,2023,2506269294.0,2552200000.0,45930706.0,1.83,ON TRACK
NEW YORK PUBLIC LIBRARY,2023,159755888.0,174642000.0,14886112.0,9.32,AT RISK
POLICE DEPARTMENT,2023,5880851658.0,6310785000.0,429933342.0,7.31,AT RISK
BROOKLYN PUBLIC LIBRARY,2024,130940541.0,128978000.0,-1962541.0,-1.5,ON TRACK
CITY UNIVERSITY OF NEW YORK,2024,1396707871.0,1281872000.0,-114835871.0,-8.22,ON TRACK
DEPARTMENT FOR THE AGING,2024,545291149.0,509351000.0,-35940149.0,-6.59,ON TRACK
DEPARTMENT OF CORRECTION,2024,1358236534.0,1277574000.0,-80662534.0,-5.94,ON TRACK
DEPARTMENT OF CULTURAL AFFAIRS,2024,251167091.0,222592000.0,-28575091.0,-11.38,ON TRACK
DEPARTMENT OF EDUCATION,2024,31377888452.0,33367648000.0,1989759548.0,6.34,AT RISK
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,2024,2958997075.0,2344290000.0,-614707075.0,-20.77,SIGNIFICANT UNDERSPEND
DEPARTMENT OF HOMELESS SERVICES,2024,3539182292.0,3892169000.0,352986708.0,9.97,AT RISK
DEPARTMENT OF PARKS AND RECREATION,2024,638124356.0,639005000.0,880644.0,0.14,ON TRACK
DEPARTMENT OF SANITATION,2024,1919354596.0,1977801000.0,58446404.0,3.05,ON TRACK
DEPARTMENT OF SMALL BUSINESS SERVICES,2024,388761207.0,284368000.0,-104393207.0,-26.85,SIGNIFICANT UNDERSPEND
DEPARTMENT OF SOCIAL SERVICES,2024,11727573942.0,12448781000.0,721207058.0,6.15,AT RISK
DEPARTMENT OF TRANSPORTATION,2024,1450374387.0,1471076000.0,20701613.0,1.43,ON TRACK
FIRE DEPARTMENT,2024,2593987935.0,2719838000.0,125850065.0,4.85,ON TRACK
NEW YORK PUBLIC LIBRARY,2024,176314588.0,167718000.0,-8596588.0,-4.88,ON TRACK
POLICE DEPARTMENT,2024,6386027848.0,6627307000.0,241279152.0,3.78,ON TRACK
BROOKLYN PUBLIC LIBRARY,2025,128659246.0,141442000.0,12782754.0,9.94,AT RISK
CITY UNIVERSITY OF NEW YORK,2025,1417323406.0,1409038000.0,-8285406.0,-0.58,ON TRACK
DEPARTMENT FOR THE AGING,2025,514786552.0,557095000.0,42308448.0,8.22,AT RISK
DEPARTMENT OF BUILDINGS,2025,190569665.0,179537000.0,-11032665.0,-5.79,ON TRACK
DEPARTMENT OF CORRECTION,2025,1244806426.0,1356247000.0,111440574.0,8.95,AT RISK
DEPARTMENT OF CULTURAL AFFAIRS,2025,222188263.0,257368000.0,35179737.0,15.83,HIGH RISK
DEPARTMENT OF EDUCATION,2025,33112195986.0,34672331000.0,1560135014.0,4.71,ON TRACK
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,2025,2687087361.0,2452162000.0,-234925361.0,-8.74,ON TRACK
DEPARTMENT OF HOMELESS SERVICES,2025,4017882980.0,4306362000.0,288479020.0,7.18,AT RISK
DEPARTMENT OF PARKS AND RECREATION,2025,640454419.0,650778000.0,10323581.0,1.61,ON TRACK
DEPARTMENT OF SANITATION,2025,1970755170.0,2057939000.0,87183830.0,4.42,ON TRACK
DEPARTMENT OF SMALL BUSINESS SERVICES,2025,314552163.0,276981000.0,-37571163.0,-11.94,ON TRACK
DEPARTMENT OF SOCIAL SERVICES,2025,12597269466.0,13167354000.0,570084534.0,4.53,ON TRACK
DEPARTMENT OF TRANSPORTATION,2025,1445688229.0,1565366000.0,119677771.0,8.28,AT RISK
FIRE DEPARTMENT,2025,2761341428.0,2843794000.0,82452572.0,2.99,ON TRACK
NEW YORK PUBLIC LIBRARY,2025,167242666.0,185733000.0,18490334.0,11.06,AT RISK
POLICE DEPARTMENT,2025,6648355925.0,6870190000.0,221834075.0,3.34,ON TRACK
