agy_nm,fisc_yr,fnding,amt
Department of Homeless Services,2024,S,1047826
Department of Homeless Services,2024,IFA,0
Department of Homeless Services,2024,IC,4848
Department of Homeless Services,2024,OC,3036
Department of Homeless Services,2024,C,2370836
Department of Housing Preservation and Development,2024,IFA,22522
Department of Housing Preservation and Development,2024,S,191
Department of Housing Preservation and Development,2024,C,862776
Department of Housing Preservation and Development,2024,F,733874
Department of Housing Preservation and Development,2024,OC,11362
Department of Housing Preservation and Development,2024,IC,2509
Department of Housing Preservation and Development,2024,CD,238608
Department of Information Technology and Telecommunications,2024,C,751685
Department of Information Technology and Telecommunications,2024,CD,1450
Department of Information Technology and Telecommunications,2024,OC,7558
Department of Information Technology and Telecommunications,2024,F,3265
Department of Information Technology and Telecommunications,2024,IC,200767
Department of Information Technology and Telecommunications,2024,S,6386
Department of Information Technology and Telecommunications,2024,IFA,1511
Department of Parks and Recreation,2024,S,763
Department of Parks and Recreation,2024,C,527590
Department of Parks and Recreation,2024,IC,30865
Department of Parks and Recreation,2024,IFA,54877
Department of Parks and Recreation,2024,F,37
Department of Parks and Recreation,2024,CD,1956
Department of Parks and Recreation,2024,OC,22917
Department of Sanitation,2024,S,504
Department of Sanitation,2024,C,1560069
Department of Sanitation,2024,F,401219
Department of Sanitation,2024,IC,4394
Department of Sanitation,2024,CD,0
Department of Sanitation,2024,OC,5848
Department of Sanitation,2024,IFA,5767
Department of Small Business Services,2024,CD,3018
Department of Small Business Services,2024,IFA,0
Department of Small Business Services,2024,OC,20306
Department of Small Business Services,2024,S,0
Department of Small Business Services,2024,IC,6902
Department of Small Business Services,2024,C,197380
Department of Small Business Services,2024,F,56762
Department of Social Services,2024,S,1055977
Department of Social Services,2024,OC,206
Department of Social Services,2024,IFA,0
Department of Social Services,2024,IC,7084
Department of Social Services,2024,C,9357471
Department of Social Services,2024,CD,0
Department of Social Services,2024,F,2028043
Department of Transportation,2024,C,871792
Department of Transportation,2024,S,139780
Department of Transportation,2024,F,120433
Department of Transportation,2024,IFA,301928
Department of Transportation,2024,CD,0
Department of Transportation,2024,OC,31464
Department of Transportation,2024,IC,5679
Department of Youth Services & Community Development,2024,S,17818
Department of Youth Services & Community Development,2024,F,82869
Department of Youth Services & Community Development,2024,IC,140967
Department of Youth Services & Community Development,2024,OC,126
Department of Youth Services & Community Development,2024,IFA,0
Department of Youth Services & Community Development,2024,C,1042372
Department of Youth Services & Community Development,2024,CD,7547
Fire Department,2024,C,2393141
Fire Department,2024,IFA,591
Fire Department,2024,CD,0
Fire Department,2024,S,2218
Fire Department,2024,F,70874
Fire Department,2024,OC,250308
Fire Department,2024,IC,2706
New York Public Library,2024,OC,348
New York Public Library,2024,C,166472
New York Public Library,2024,F,0
New York Public Library,2024,CD,0
New York Public Library,2024,S,0
New York Public Library,2024,IC,898
New York Public Library,2024,IFA,0
Pensions,2024,IFA,0
Pensions,2024,IC,112254
Pensions,2024,OC,0
Pensions,2024,CD,0
Pensions,2024,C,9183420
Pensions,2024,S,32025
Pensions,2024,F,0
Police Department,2024,F,175454
Police Department,2024,IC,275025
Police Department,2024,IFA,0
Police Department,2024,C,6129582
Police Department,2024,OC,31873
Police Department,2024,S,15373
Police Department,2024,CD,0
Queens Public Library,2024,IFA,0
Queens Public Library,2024,OC,320
Queens Public Library,2024,S,0
Queens Public Library,2024,CD,0
Queens Public Library,2024,C,131169
Queens Public Library,2024,F,0
Queens Public Library,2024,IC,925
Research Libraries,2024,OC,0
Research Libraries,2024,F,0
Research Libraries,2024,CD,0
Research Libraries,2024,IFA,0
Research Libraries,2024,S,0
Research Libraries,2024,IC,0
Research Libraries,2024,C,32466
Administration of Children's Services,2025,OC,99
Administration of Children's Services,2025,CD,0
Administration of Children's Services,2025,IC,3192
Administration of Children's Services,2025,C,1459016
Administration of Children's Services,2025,S,771319
Administration of Children's Services,2025,IFA,0
Administration of Children's Services,2025,F,1715487
Brooklyn Public Library,2025,OC,272
Brooklyn Public Library,2025,IFA,0
Brooklyn Public Library,2025,IC,2896
Brooklyn Public Library,2025,S,0
Brooklyn Public Library,2025,C,138274
Brooklyn Public Library,2025,CD,0
Brooklyn Public Library,2025,F,0
City University of New York,2025,IC,147290
City University of New York,2025,C,968672
City University of New York,2025,OC,21456
City University of New York,2025,F,0
City University of New York,2025,CD,0
City University of New York,2025,S,271620
City University of New York,2025,IFA,0
Department for the Aging,2025,IC,2866
Department for the Aging,2025,CD,1909
Department for the Aging,2025,S,74661
Department for the Aging,2025,F,80933
Department for the Aging,2025,IFA,0
Department for the Aging,2025,OC,177
Department for the Aging,2025,C,396549
Department of Buildings,2025,CD,0
Department of Buildings,2025,OC,0
Department of Buildings,2025,C,178645
Department of Buildings,2025,S,96
Department of Buildings,2025,IC,796
Department of Buildings,2025,IFA,0
Department of Buildings,2025,F,0
Department of Citywide Administrative Services,2025,S,239057
Department of Citywide Administrative Services,2025,IFA,1633
Department of Citywide Administrative Services,2025,CD,0
Department of Citywide Administrative Services,2025,OC,125005
Department of Citywide Administrative Services,2025,F,391
Department of Citywide Administrative Services,2025,C,603179
Department of Citywide Administrative Services,2025,IC,1018235
Department of Correction,2025,F,2813
Department of Correction,2025,IFA,0
Department of Correction,2025,CD,0
Department of Correction,2025,IC,231
Department of Correction,2025,OC,94
Department of Correction,2025,C,1344071
Department of Correction,2025,S,9038
Department of Cultural Affairs,2025,F,637
Department of Cultural Affairs,2025,IFA,344
Department of Cultural Affairs,2025,C,253822
Department of Cultural Affairs,2025,CD,0
Department of Cultural Affairs,2025,S,74
Department of Cultural Affairs,2025,OC,2170
Department of Cultural Affairs,2025,IC,321
Department of Education,2025,IFA,0
Department of Education,2025,CD,2930
Department of Education,2025,IC,124481
Department of Education,2025,F,2800267
Department of Education,2025,OC,217409
Department of Education,2025,S,13672834
Department of Education,2025,C,17854410
Department of Environmental Protection,2025,IFA,69342
Department of Environmental Protection,2025,OC,11315
Department of Environmental Protection,2025,S,1110
Department of Environmental Protection,2025,C,1584680
Department of Environmental Protection,2025,IC,2608
Department of Environmental Protection,2025,CD,323
Department of Environmental Protection,2025,F,8689
Department of Health and Mental Hygiene,2025,S,601897
Department of Health and Mental Hygiene,2025,F,468537
Department of Health and Mental Hygiene,2025,IC,18650
Department of Health and Mental Hygiene,2025,IFA,0
Department of Health and Mental Hygiene,2025,CD,0
Department of Health and Mental Hygiene,2025,OC,18181
Department of Health and Mental Hygiene,2025,C,1344897
Department of Homeless Services,2025,IC,7011
Department of Homeless Services,2025,OC,3974
Department of Homeless Services,2025,F,422807
Department of Homeless Services,2025,CD,553
Department of Homeless Services,2025,IFA,0
Department of Homeless Services,2025,S,1252572
Department of Homeless Services,2025,C,2619445
Department of Housing Preservation and Development,2025,IFA,22034
Department of Housing Preservation and Development,2025,IC,2619
Department of Housing Preservation and Development,2025,F,917616
Department of Housing Preservation and Development,2025,CD,184878
Department of Housing Preservation and Development,2025,C,783658
Department of Housing Preservation and Development,2025,S,2841
Department of Housing Preservation and Development,2025,OC,64815
Department of Information Technology and Telecommunications,2025,F,1393
Department of Information Technology and Telecommunications,2025,C,726293
Department of Information Technology and Telecommunications,2025,OC,3356
Department of Information Technology and Telecommunications,2025,S,6073
Department of Information Technology and Telecommunications,2025,IFA,1587
Department of Information Technology and Telecommunications,2025,IC,183501
Department of Information Technology and Telecommunications,2025,CD,100
Department of Parks and Recreation,2025,CD,1509
Department of Parks and Recreation,2025,OC,17095
Department of Parks and Recreation,2025,IC,2019
Department of Parks and Recreation,2025,S,1400
Department of Parks and Recreation,2025,F,1213
Department of Parks and Recreation,2025,IFA,56332
Department of Parks and Recreation,2025,C,571210
Department of Sanitation,2025,S,0
Department of Sanitation,2025,C,1842937
Department of Sanitation,2025,F,200074
Department of Sanitation,2025,IC,5836
Department of Sanitation,2025,IFA,6177
Department of Sanitation,2025,CD,0
Department of Sanitation,2025,OC,2915
Department of Small Business Services,2025,OC,5505
Department of Small Business Services,2025,C,192375
Department of Small Business Services,2025,S,289
Department of Small Business Services,2025,IC,12244
Department of Small Business Services,2025,IFA,0
Department of Small Business Services,2025,CD,6589
Department of Small Business Services,2025,F,59979
Department of Social Services,2025,OC,88
Department of Social Services,2025,IC,7462
Department of Social Services,2025,IFA,0
Department of Social Services,2025,F,1734071
Department of Social Services,2025,CD,3246
Department of Social Services,2025,S,1090595
Department of Social Services,2025,C,10331892
Department of Transportation,2025,F,130044
Department of Transportation,2025,CD,0
Department of Transportation,2025,IFA,340595
Department of Transportation,2025,OC,20051
Department of Transportation,2025,S,177015
Department of Transportation,2025,C,893608
Department of Transportation,2025,IC,4053
Department of Youth Services & Community Development,2025,C,1199774
Department of Youth Services & Community Development,2025,S,16621
Department of Youth Services & Community Development,2025,OC,30
Department of Youth Services & Community Development,2025,F,121697
Department of Youth Services & Community Development,2025,IFA,0
Department of Youth Services & Community Development,2025,CD,7021
Department of Youth Services & Community Development,2025,IC,4160
Fire Department,2025,C,2500652
Fire Department,2025,IC,3376
Fire Department,2025,F,76036
Fire Department,2025,CD,0
Fire Department,2025,OC,258692
Fire Department,2025,S,4341
Fire Department,2025,IFA,697
New York Public Library,2025,OC,1284
New York Public Library,2025,F,0
New York Public Library,2025,IC,3450
New York Public Library,2025,C,180999
New York Public Library,2025,IFA,0
New York Public Library,2025,CD,0
New York Public Library,2025,S,0
Police Department,2025,S,56958
Police Department,2025,IFA,0
Police Department,2025,C,6267557
Police Department,2025,IC,255925
Police Department,2025,CD,0
Police Department,2025,F,257274
Police Department,2025,OC,32476
Queens Public Library,2025,IC,1067
Queens Public Library,2025,F,7
Queens Public Library,2025,C,143291
Queens Public Library,2025,IFA,0
Queens Public Library,2025,OC,192
Queens Public Library,2025,CD,0
Queens Public Library,2025,S,1
Research Libraries,2025,S,0
Research Libraries,2025,OC,0
Research Libraries,2025,IC,0
Research Libraries,2025,F,0
Research Libraries,2025,CD,0
Research Libraries,2025,IFA,0
Research Libraries,2025,C,35836
