agy_nm,fisc_yr,fnding,amt
Administration of Children's Services,2021,F,890495
Administration of Children's Services,2021,C,818340
Administration of Children's Services,2021,CD,0
Administration of Children's Services,2021,OC,0
Administration of Children's Services,2021,IC,3864
Administration of Children's Services,2021,S,821408
Brooklyn Public Library,2021,F,0
Brooklyn Public Library,2021,IC,1577
Brooklyn Public Library,2021,OC,15
Brooklyn Public Library,2021,C,116654
Brooklyn Public Library,2021,S,0
Brooklyn Public Library,2021,IFA,0
Brooklyn Public Library,2021,CD,0
City University of New York,2021,OC,15786
City University of New York,2021,IFA,0
City University of New York,2021,CD,93
City University of New York,2021,C,782491
City University of New York,2021,S,231044
City University of New York,2021,IC,98854
City University of New York,2021,F,31164
Department for the Aging,2021,IFA,0
Department for the Aging,2021,IC,1362
Department for the Aging,2021,CD,2679
Department for the Aging,2021,C,227830
Department for the Aging,2021,OC,79
Department for the Aging,2021,S,46386
Department for the Aging,2021,F,77275
Department of Citywide Administrative Services,2021,C,217983
Department of Citywide Administrative Services,2021,S,55848
Department of Citywide Administrative Services,2021,IFA,1426
Department of Citywide Administrative Services,2021,CD,21366
Department of Citywide Administrative Services,2021,F,563617
Department of Citywide Administrative Services,2021,OC,80539
Department of Citywide Administrative Services,2021,IC,726499
Department of Correction,2021,OC,1939
Department of Correction,2021,C,1252765
Department of Correction,2021,F,135
Department of Correction,2021,S,3604
Department of Correction,2021,IC,157
Department of Correction,2021,CD,0
Department of Correction,2021,IFA,717
Department of Cultural Affairs,2021,IFA,208
Department of Cultural Affairs,2021,S,0
Department of Cultural Affairs,2021,CD,119
Department of Cultural Affairs,2021,OC,521
Department of Cultural Affairs,2021,IC,4905
Department of Cultural Affairs,2021,F,0
Department of Cultural Affairs,2021,C,179330
Department of Education,2021,IC,62773
Department of Education,2021,IFA,0
Department of Education,2021,S,10667114
Department of Education,2021,OC,277808
Department of Education,2021,C,14709274
Department of Education,2021,CD,115286
Department of Education,2021,F,2712825
Department of Environmental Protection,2021,S,865
Department of Environmental Protection,2021,CD,44392
Department of Environmental Protection,2021,F,12547
Department of Environmental Protection,2021,C,1274876
Department of Environmental Protection,2021,OC,10337
Department of Environmental Protection,2021,IC,1921
Department of Environmental Protection,2021,IFA,65326
Department of Health and Mental Hygiene,2021,C,1101687
Department of Health and Mental Hygiene,2021,S,459651
Department of Health and Mental Hygiene,2021,OC,2190
Department of Health and Mental Hygiene,2021,IFA,0
Department of Health and Mental Hygiene,2021,CD,0
Department of Health and Mental Hygiene,2021,F,603080
Department of Health and Mental Hygiene,2021,IC,14712
Department of Homeless Services,2021,IC,19495
Department of Homeless Services,2021,IFA,0
Department of Homeless Services,2021,CD,4086
Department of Homeless Services,2021,C,1408794
Department of Homeless Services,2021,S,170240
Department of Homeless Services,2021,OC,2146
Department of Homeless Services,2021,F,1439728
Department of Housing Preservation and Development,2021,S,722
Department of Housing Preservation and Development,2021,OC,4127
Department of Housing Preservation and Development,2021,CD,240704
Department of Housing Preservation and Development,2021,C,275331
Department of Housing Preservation and Development,2021,IFA,19828
Department of Housing Preservation and Development,2021,IC,2605
Department of Housing Preservation and Development,2021,F,586586
Department of Information Technology and Telecommunications,2021,IFA,1765
Department of Information Technology and Telecommunications,2021,F,96032
Department of Information Technology and Telecommunications,2021,C,598228
Department of Information Technology and Telecommunications,2021,CD,42652
Department of Information Technology and Telecommunications,2021,S,4660
Department of Information Technology and Telecommunications,2021,IC,224195
Department of Information Technology and Telecommunications,2021,OC,3201
Department of Parks and Recreation,2021,S,1021
Department of Parks and Recreation,2021,OC,12188
Department of Parks and Recreation,2021,F,34017
Department of Parks and Recreation,2021,IFA,51419
Department of Parks and Recreation,2021,CD,4638
Department of Parks and Recreation,2021,C,389544
Department of Parks and Recreation,2021,IC,33806
Department of Sanitation,2021,IC,2389
Department of Sanitation,2021,C,1274026
Department of Sanitation,2021,OC,3456
Department of Sanitation,2021,S,0
Department of Sanitation,2021,F,1092703
Department of Sanitation,2021,CD,412
Department of Sanitation,2021,IFA,5714
Department of Small Business Services,2021,IFA,0
Department of Small Business Services,2021,F,45238
Department of Small Business Services,2021,CD,4804
Department of Small Business Services,2021,IC,1682
Department of Small Business Services,2021,OC,3324
Department of Small Business Services,2021,S,2091
Department of Small Business Services,2021,C,169872
Department of Social Services,2021,F,1703010
Department of Social Services,2021,S,677354
Department of Social Services,2021,OC,462
Department of Social Services,2021,IFA,0
Department of Social Services,2021,C,7678577
Department of Social Services,2021,CD,26105
Department of Social Services,2021,IC,7977
Department of Transportation,2021,C,662780
Department of Transportation,2021,IC,3294
Department of Transportation,2021,OC,26169
Department of Transportation,2021,S,132683
Department of Transportation,2021,CD,0
Department of Transportation,2021,F,91367
Department of Transportation,2021,IFA,225949
Department of Youth Services & Community Development,2021,S,6767
Department of Youth Services & Community Development,2021,IFA,0
Department of Youth Services & Community Development,2021,IC,144463
Department of Youth Services & Community Development,2021,OC,7244
Department of Youth Services & Community Development,2021,CD,6984
Department of Youth Services & Community Development,2021,F,241869
Department of Youth Services & Community Development,2021,C,452062
Fire Department,2021,F,203643
Fire Department,2021,CD,0
Fire Department,2021,IFA,430
Fire Department,2021,C,1692487
Fire Department,2021,IC,886
Fire Department,2021,OC,335958
Fire Department,2021,S,1968
New York Public Library,2021,IFA,0
New York Public Library,2021,OC,21
New York Public Library,2021,CD,0
New York Public Library,2021,C,154571
New York Public Library,2021,F,0
New York Public Library,2021,S,0
New York Public Library,2021,IC,3906
Pensions,2021,IFA,0
Pensions,2021,S,0
Pensions,2021,IC,0
Pensions,2021,F,0
Pensions,2021,CD,0
Pensions,2021,OC,0
Pensions,2021,C,0
Police Department,2021,OC,30110
Police Department,2021,IC,273740
Police Department,2021,CD,0
Police Department,2021,S,17808
Police Department,2021,C,5059176
Police Department,2021,IFA,0
Police Department,2021,F,161601
Queens Public Library,2021,OC,1
Queens Public Library,2021,S,0
Queens Public Library,2021,IFA,0
Queens Public Library,2021,CD,0
Queens Public Library,2021,C,121518
Queens Public Library,2021,IC,925
Queens Public Library,2021,F,0
Research Libraries,2021,C,30691
Research Libraries,2021,F,0
Research Libraries,2021,IC,0
Research Libraries,2021,OC,0
Research Libraries,2021,IFA,0
Research Libraries,2021,CD,0
Research Libraries,2021,S,0
Administration of Children's Services,2022,F,780088
Administration of Children's Services,2022,IFA,0
Administration of Children's Services,2022,CD,0
Administration of Children's Services,2022,IC,3839
Administration of Children's Services,2022,S,838129
Administration of Children's Services,2022,C,1024776
Administration of Children's Services,2022,OC,0
Brooklyn Public Library,2022,C,117195
Brooklyn Public Library,2022,IC,982
Brooklyn Public Library,2022,S,0
Brooklyn Public Library,2022,CD,0
Brooklyn Public Library,2022,F,0
Brooklyn Public Library,2022,IFA,0
Brooklyn Public Library,2022,OC,213
City University of New York,2022,S,238055
City University of New York,2022,OC,19679
City University of New York,2022,IFA,0
City University of New York,2022,CD,0
City University of New York,2022,IC,122431
City University of New York,2022,C,738783
City University of New York,2022,F,112773
Department for the Aging,2022,S,47811
Department for the Aging,2022,IC,2160
Department for the Aging,2022,OC,0
Department for the Aging,2022,IFA,0
Department for the Aging,2022,CD,1143
Department for the Aging,2022,C,317991
Department for the Aging,2022,F,133478
Department of Citywide Administrative Services,2022,CD,105
Department of Citywide Administrative Services,2022,S,71210
Department of Citywide Administrative Services,2022,IFA,379
Department of Citywide Administrative Services,2022,IC,898448
Department of Citywide Administrative Services,2022,OC,127866
Department of Citywide Administrative Services,2022,C,367543
Department of Citywide Administrative Services,2022,F,67161
Department of Correction,2022,F,1469
Department of Correction,2022,IC,516
Department of Correction,2022,IFA,711
Department of Correction,2022,S,3376
Department of Correction,2022,OC,1291
Department of Correction,2022,CD,0
Department of Correction,2022,C,1384465
Department of Cultural Affairs,2022,IFA,284
Department of Cultural Affairs,2022,S,0
Department of Cultural Affairs,2022,C,210736
Department of Cultural Affairs,2022,IC,4352
Department of Cultural Affairs,2022,F,13333
Department of Cultural Affairs,2022,OC,1098
Department of Cultural Affairs,2022,CD,0
Department of Education,2022,IC,80427
Department of Education,2022,CD,68618
Department of Education,2022,IFA,0
Department of Education,2022,C,13674102
Department of Education,2022,F,5415250
Department of Education,2022,OC,278266
Department of Education,2022,S,12041346
Department of Environmental Protection,2022,S,2680
Department of Environmental Protection,2022,IFA,61350
Department of Environmental Protection,2022,CD,906
Department of Environmental Protection,2022,C,1344855
Department of Environmental Protection,2022,F,30216
Department of Environmental Protection,2022,IC,2156
Department of Environmental Protection,2022,OC,7743
Department of Health and Mental Hygiene,2022,OC,16603
Department of Health and Mental Hygiene,2022,F,1068699
Department of Health and Mental Hygiene,2022,IFA,0
Department of Health and Mental Hygiene,2022,C,1089909
Department of Health and Mental Hygiene,2022,IC,18260
Department of Health and Mental Hygiene,2022,CD,0
Department of Health and Mental Hygiene,2022,S,419683
Department of Homeless Services,2022,IFA,0
Department of Homeless Services,2022,S,144379
Department of Homeless Services,2022,CD,4392
Department of Homeless Services,2022,IC,6379
Department of Homeless Services,2022,F,725855
Department of Homeless Services,2022,OC,201
Department of Homeless Services,2022,C,1851561
Department of Housing Preservation and Development,2022,IFA,18218
Department of Housing Preservation and Development,2022,CD,232554
Department of Housing Preservation and Development,2022,C,283253
Department of Housing Preservation and Development,2022,S,614
Department of Housing Preservation and Development,2022,F,647159
Department of Housing Preservation and Development,2022,IC,2482
Department of Housing Preservation and Development,2022,OC,10134
Department of Information Technology and Telecommunications,2022,OC,4496
Department of Information Technology and Telecommunications,2022,S,253
Department of Information Technology and Telecommunications,2022,IC,218774
Department of Information Technology and Telecommunications,2022,CD,3553
Department of Information Technology and Telecommunications,2022,IFA,2825
Department of Information Technology and Telecommunications,2022,F,136019
Department of Information Technology and Telecommunications,2022,C,558560
Department of Parks and Recreation,2022,CD,3152
Department of Parks and Recreation,2022,C,430212
Department of Parks and Recreation,2022,OC,11682
Department of Parks and Recreation,2022,IC,34016
Department of Parks and Recreation,2022,S,754
Department of Parks and Recreation,2022,IFA,50389
Department of Parks and Recreation,2022,F,57988
Department of Sanitation,2022,F,463261
Department of Sanitation,2022,S,11235
Department of Sanitation,2022,C,1550402
Department of Sanitation,2022,OC,4952
Department of Sanitation,2022,IC,4684
Department of Sanitation,2022,IFA,5749
Department of Sanitation,2022,CD,48
Department of Small Business Services,2022,C,146691
Department of Small Business Services,2022,S,1082
Department of Small Business Services,2022,OC,17252
Department of Small Business Services,2022,IFA,0
Department of Small Business Services,2022,CD,5449
Department of Small Business Services,2022,F,337902
Department of Small Business Services,2022,IC,4824
Department of Social Services,2022,F,1605701
Department of Social Services,2022,IFA,0
Department of Social Services,2022,C,8736914
Department of Social Services,2022,IC,8920
Department of Social Services,2022,CD,35783
Department of Social Services,2022,OC,565
Department of Social Services,2022,S,577111
Department of Transportation,2022,F,95599
Department of Transportation,2022,IFA,255581
Department of Transportation,2022,OC,14644
Department of Transportation,2022,IC,3572
Department of Transportation,2022,S,121051
Department of Transportation,2022,C,744935
Department of Transportation,2022,CD,0
Department of Youth Services & Community Development,2022,F,157651
Department of Youth Services & Community Development,2022,CD,7383
Department of Youth Services & Community Development,2022,IFA,0
Department of Youth Services & Community Development,2022,IC,142301
Department of Youth Services & Community Development,2022,OC,1024
Department of Youth Services & Community Development,2022,C,656137
Department of Youth Services & Community Development,2022,S,7072
Fire Department,2022,IFA,567
Fire Department,2022,F,70174
Fire Department,2022,C,2244388
Fire Department,2022,OC,166043
Fire Department,2022,IC,2921
Fire Department,2022,S,1927
Fire Department,2022,CD,0
New York Public Library,2022,OC,532
New York Public Library,2022,IFA,0
New York Public Library,2022,S,0
New York Public Library,2022,CD,0
New York Public Library,2022,F,0
New York Public Library,2022,C,154472
New York Public Library,2022,IC,4889
Pensions,2022,S,32025
Pensions,2022,IC,112254
Pensions,2022,F,0
Pensions,2022,C,9567097
Pensions,2022,OC,0
Pensions,2022,IFA,0
Pensions,2022,CD,0
Police Department,2022,CD,0
Police Department,2022,OC,32484
Police Department,2022,F,764510
Police Department,2022,C,4807033
Police Department,2022,IFA,0
Police Department,2022,S,14934
Police Department,2022,IC,262346
Queens Public Library,2022,F,24
Queens Public Library,2022,CD,0
Queens Public Library,2022,OC,175
Queens Public Library,2022,C,121179
Queens Public Library,2022,S,0
Queens Public Library,2022,IC,714
Queens Public Library,2022,IFA,0
Research Libraries,2022,OC,0
Research Libraries,2022,IFA,0
Research Libraries,2022,C,30652
Research Libraries,2022,F,0
Research Libraries,2022,CD,0
Research Libraries,2022,S,0
Research Libraries,2022,IC,0
Administration of Children's Services,2023,S,881807
Administration of Children's Services,2023,C,1056733
Administration of Children's Services,2023,IC,3910
Administration of Children's Services,2023,OC,0
Administration of Children's Services,2023,IFA,0
Administration of Children's Services,2023,CD,0
Administration of Children's Services,2023,F,1045854
Brooklyn Public Library,2023,F,0
Brooklyn Public Library,2023,C,128202
Brooklyn Public Library,2023,CD,0
Brooklyn Public Library,2023,OC,145
Brooklyn Public Library,2023,IC,2594
Brooklyn Public Library,2023,S,0
Brooklyn Public Library,2023,IFA,0
City University of New York,2023,F,78371
City University of New York,2023,S,245100
City University of New York,2023,IC,142274
City University of New York,2023,OC,16564
City University of New York,2023,CD,0
City University of New York,2023,C,787440
City University of New York,2023,IFA,0
Department for the Aging,2023,C,329333
Department for the Aging,2023,F,129363
Department for the Aging,2023,CD,853
Department for the Aging,2023,OC,15
Department for the Aging,2023,S,32558
Department for the Aging,2023,IFA,0
Department for the Aging,2023,IC,2620
Department of Citywide Administrative Services,2023,S,70035
Department of Citywide Administrative Services,2023,IC,962572
Department of Citywide Administrative Services,2023,C,457736
Department of Citywide Administrative Services,2023,IFA,1948
Department of Citywide Administrative Services,2023,OC,127113
Department of Citywide Administrative Services,2023,CD,0
Department of Citywide Administrative Services,2023,F,4248
Department of Correction,2023,S,1899
Department of Correction,2023,CD,0
Department of Correction,2023,OC,8785
Department of Correction,2023,IFA,0
Department of Correction,2023,IC,453
Department of Correction,2023,F,186
Department of Correction,2023,C,1346090
Department of Cultural Affairs,2023,F,633
Department of Cultural Affairs,2023,IFA,279
Department of Cultural Affairs,2023,S,0
Department of Cultural Affairs,2023,OC,582
Department of Cultural Affairs,2023,C,243330
Department of Cultural Affairs,2023,CD,0
Department of Cultural Affairs,2023,IC,185
Department of Education,2023,IFA,0
Department of Education,2023,F,4136139
Department of Education,2023,S,12451205
Department of Education,2023,CD,29561
Department of Education,2023,C,14484457
Department of Education,2023,IC,84793
Department of Education,2023,OC,319329
Department of Environmental Protection,2023,S,2004
Department of Environmental Protection,2023,IFA,65492
Department of Environmental Protection,2023,F,8004
Department of Environmental Protection,2023,OC,18635
Department of Environmental Protection,2023,IC,1786
Department of Environmental Protection,2023,CD,0
Department of Environmental Protection,2023,C,1439999
Department of Health and Mental Hygiene,2023,C,1216202
Department of Health and Mental Hygiene,2023,F,526929
Department of Health and Mental Hygiene,2023,IC,20448
Department of Health and Mental Hygiene,2023,CD,0
Department of Health and Mental Hygiene,2023,OC,46815
Department of Health and Mental Hygiene,2023,IFA,0
Department of Health and Mental Hygiene,2023,S,525094
Department of Homeless Services,2023,CD,4478
Department of Homeless Services,2023,IC,15798
Department of Homeless Services,2023,IFA,0
Department of Homeless Services,2023,OC,6700
Department of Homeless Services,2023,C,2384777
Department of Homeless Services,2023,S,605706
Department of Homeless Services,2023,F,522921
Department of Housing Preservation and Development,2023,C,391341
Department of Housing Preservation and Development,2023,S,1124
Department of Housing Preservation and Development,2023,CD,243814
Department of Housing Preservation and Development,2023,OC,9585
Department of Housing Preservation and Development,2023,IC,3069
Department of Housing Preservation and Development,2023,IFA,20551
Department of Housing Preservation and Development,2023,F,654597
Department of Information Technology and Telecommunications,2023,OC,6783
Department of Information Technology and Telecommunications,2023,CD,1422
Department of Information Technology and Telecommunications,2023,S,3203
Department of Information Technology and Telecommunications,2023,IC,199688
Department of Information Technology and Telecommunications,2023,C,665952
Department of Information Technology and Telecommunications,2023,IFA,1573
Department of Information Technology and Telecommunications,2023,F,18824
Department of Parks and Recreation,2023,IC,49114
Department of Parks and Recreation,2023,F,993
Department of Parks and Recreation,2023,CD,2439
Department of Parks and Recreation,2023,S,1681
Department of Parks and Recreation,2023,C,492648
Department of Parks and Recreation,2023,IFA,53049
Department of Parks and Recreation,2023,OC,14362
Department of Sanitation,2023,CD,0
Department of Sanitation,2023,S,940
Department of Sanitation,2023,F,30555
Department of Sanitation,2023,C,1869914
Department of Sanitation,2023,OC,6198
Department of Sanitation,2023,IC,6195
Department of Sanitation,2023,IFA,5476
Department of Small Business Services,2023,F,75313
Department of Small Business Services,2023,S,1466
Department of Small Business Services,2023,C,255344
Department of Small Business Services,2023,OC,10399
Department of Small Business Services,2023,IFA,0
Department of Small Business Services,2023,CD,7684
Department of Small Business Services,2023,IC,13929
Department of Social Services,2023,F,1556971
Department of Social Services,2023,OC,226
Department of Social Services,2023,CD,0
Department of Social Services,2023,C,8882742
Department of Social Services,2023,IC,13754
Department of Social Services,2023,IFA,0
