agency_key,found_in
DISTRICT ATTORNEY KINGS COUNTY,budget_only
BROOKLYN COMMUNITY BOARD 14,budget_only
BRONX COMMUNITY BOARD 3,budget_only
INDEPENDENT BUDGET OFFICE,budget_only
DEPARTMENT OF HOUSING PRESERVATION AND DEVELOPMENT,actuals_only
DEPARTMENT OF INFORMATION TECHNOLOGY AND TELECOMMUNICATIONS,actuals_only
RESEARCH LIBRARIES,actuals_only
ADMINISTRATION OF CHILDRENS SERVICES,actuals_only
DEPARTMENT OF CITYWIDE ADMINISTRATIVE SERVICES,actuals_only
DEPARTMENT OF YOUTH SERVICES COMMUNITY DEVELOPMENT,actuals_only
PENSIONS,actuals_only
QUEENS PUBLIC LIBRARY,actuals_only
DEPARTMENT OF ENVIRONMENTAL PROTECTION,actuals_only
