agency_name,fiscal_year,budget_amount,actual_amount,variance_amount,variance_pct
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,2025,2687087361,2452162000,-234925361,-8.742751144219312
DEPARTMENT OF HOMELESS SERVICES,2025,4017882980,4306362000,288479020,7.179876104803828
DEPARTMENT OF PARKS AND RECREATION,2025,640454419,650778000,10323581,1.6119150237294249
DEPARTMENT OF SANITATION,2025,1970755170,2057939000,87183830,4.423879299020182
DEPARTMENT OF SMALL BUSINESS SERVICES,2025,314552163,276981000,-37571163,-11.944334650784137
DEPARTMENT OF SOCIAL SERVICES,2025,12597269466,13167354000,570084534,4.525461136944453
DEPARTMENT OF TRANSPORTATION,2025,1445688229,1565366000,119677771,8.278255892197626
FIRE DEPARTMENT,2025,2761341428,2843794000,82452572,2.9859607784800164
NEW YORK PUBLIC LIBRARY,2025,167242666,185733000,18490334,11.055990939536924
POLICE DEPARTMENT,2025,6648355925,6870190000,221834075,3.3366756759491634
