agency_name,responsibility_center_name,fiscal_year,total_budget
DEPARTMENT OF CORRECTION,ALTERNATIVES TO INCARCERATION,2019,2509413
DEPARTMENT OF CORRECTION,ANNA M KROSS CENTER,2019,91673998
DEPARTMENT OF CORRECTION,BELLEVUE HOSPITAL PRISON WARD,2019,10265510
DEPARTMENT OF CORRECTION,BNX HOUSE DETENTION FOR MEN,2019,500
DEPARTMENT OF CORRECTION,BRONX COURT PENS,2019,7504640
DEPARTMENT OF CORRECTION,BROOKLYN COURT PENS,2019,1946138
DEPARTMENT OF CORRECTION,BROOKLYN HOUSE OF DETENT MEN,2019,22475422
DEPARTMENT OF CORRECTION,CAPITAL DEVEL SUPPORT SERVICES,2019,11463301
DEPARTMENT OF CORRECTION,CORRECTION INDUSTRIES,2019,4619277
DEPARTMENT OF CORRECTION,ELMHURST HOSPITAL PRISON WARD,2019,3487801
DEPARTMENT OF CORRECTION,GEORE R VIERNO CENTER,2019,57322898
DEPARTMENT OF CORRECTION,GEORGE MOTCHAN DENTENTION CNTR,2019,70305577
DEPARTMENT OF CORRECTION,HEALTH AFFAIRS SUB ABUSE +EDUC,2019,632963
DEPARTMENT OF CORRECTION,HEALTH MANAGEMENT,2019,4901597
DEPARTMENT OF CORRECTION,INSPECTIONS,2019,1352542
DEPARTMENT OF CORRECTION,INVESTIGATIONS,2019,12483425
DEPARTMENT OF CORRECTION,JAMES A THOMAS CENTER,2019,376078
DEPARTMENT OF CORRECTION,MANAGEMENT BUDGET + PLANNING,2019,111868096
DEPARTMENT OF CORRECTION,MANHATTAN COURT PENS,2019,1071537
DEPARTMENT OF CORRECTION,MANHATTAN DETENTION COMPLEX,2019,64165170
DEPARTMENT OF CORRECTION,NORTH INFIRMARY COMMAND,2019,14491214
DEPARTMENT OF CORRECTION,NYC CORRECTIONAL INSTIT MEN,2019,52790840
DEPARTMENT OF CORRECTION,OFFICE OF THE COMMISSIONER,2019,3182899
DEPARTMENT OF CORRECTION,OPERATIONS,2019,469272278
DEPARTMENT OF CORRECTION,OTIS BANTUM CORRECTIONAL CNTR,2019,72068236
DEPARTMENT OF CORRECTION,PERSONNEL,2019,9811887
DEPARTMENT OF CORRECTION,PROGRAMS,2019,28597155
DEPARTMENT OF CORRECTION,QUEENS COURT PENS,2019,269201
DEPARTMENT OF CORRECTION,QUEENS HOUSE DETENTION FOR MEN,2019,9363970
DEPARTMENT OF CORRECTION,RI SUPPORT SERVICES,2019,29174510
DEPARTMENT OF CORRECTION,RI TELECOMMUNICATIONS,2019,11943627
DEPARTMENT OF CORRECTION,ROSE M SINGER CENTER,2019,46272846
DEPARTMENT OF CORRECTION,SPECIALIZED SERVICES,2019,26912936
DEPARTMENT OF CORRECTION,SPECIAL OPERATIONS DIVISION,2019,17144033
DEPARTMENT OF CORRECTION,TRAINING ACADEMY,2019,16180738
DEPARTMENT OF CORRECTION,TRANSPORTATION,2019,32300135
DEPARTMENT OF CORRECTION,,2019,19686131
DEPARTMENT OF CULTURAL AFFAIRS,OFFICE OF COMMISSIONER,2019,183149933
DEPARTMENT OF CULTURAL AFFAIRS,,2019,11680505
DEPARTMENT OF DESIGN & CONSTRUCTION,ADMINISTRATION,2019,26290772
DEPARTMENT OF DESIGN & CONSTRUCTION,ARCHITECTURE AND ENGINEERING,2019,7762714
DEPARTMENT OF DESIGN & CONSTRUCTION,EXECUTIVE,2019,43948164
DEPARTMENT OF DESIGN & CONSTRUCTION,INFRASTRUCTURE,2019,38298547
DEPARTMENT OF DESIGN & CONSTRUCTION,STRUCTURES,2019,26811139
DEPARTMENT OF DESIGN & CONSTRUCTION,TECHNICAL SUPPORT,2019,10768071
DEPARTMENT OF DESIGN & CONSTRUCTION,,2019,399938945
DEPARTMENT OF EDUCATION,,2019,25019450972
DEPARTMENT OF EMERGENCY MANAGEMENT,ADMINISTRATION,2019,18941866
DEPARTMENT OF EMERGENCY MANAGEMENT,,2019,45473516
DEPARTMENT OF ENVIRONMENTAL PROTECT.,ACCO,2019,5542326
DEPARTMENT OF ENVIRONMENTAL PROTECT.,AIR NOISE AND HAZ MATERIALS,2019,34103839
DEPARTMENT OF ENVIRONMENTAL PROTECT.,CUSTOMER & CONSERVATION SERV,2019,52062869
DEPARTMENT OF ENVIRONMENTAL PROTECT.,ENGINEERING AUDITS,2019,2146358
DEPARTMENT OF ENVIRONMENTAL PROTECT.,ENVIORNMENTAL ASSESSMENT,2019,12994840
DEPARTMENT OF ENVIRONMENTAL PROTECT.,ENVIORNMENTAL ENGINEERING,2019,37831279
DEPARTMENT OF ENVIRONMENTAL PROTECT.,ENVIRONMENTAL HEALTH AND SAFETY,2019,17411815
DEPARTMENT OF ENVIRONMENTAL PROTECT.,EXECUTIVE + SUPPORT,2019,31763175
DEPARTMENT OF ENVIRONMENTAL PROTECT.,FLEET ADMINISTRATION,2019,6114238
DEPARTMENT OF ENVIRONMENTAL PROTECT.,GIARDIA SURVEILANCE,2019,302313
DEPARTMENT OF ENVIRONMENTAL PROTECT.,HUMAN RESOURCES MGMT,2019,3537340
DEPARTMENT OF ENVIRONMENTAL PROTECT.,LEGAL AND LEGISLATIVE AFFAIRS,2019,14681875
DEPARTMENT OF ENVIRONMENTAL PROTECT.,MANAGEMENT AND BUDGET,2019,40545013
DEPARTMENT OF ENVIRONMENTAL PROTECT.,PUBLIC AFFAIRS,2019,2146567
DEPARTMENT OF ENVIRONMENTAL PROTECT.,WASTEWATER POLLUTION CONTROL,2019,499796552
DEPARTMENT OF ENVIRONMENTAL PROTECT.,WATER AND SEWER OPERATIONS SYS,2019,166481218
DEPARTMENT OF ENVIRONMENTAL PROTECT.,WATER BOARD,2019,886011
DEPARTMENT OF ENVIRONMENTAL PROTECT.,WATER SUPPLY QUALITY PROTECT,2019,358947094
DEPARTMENT OF ENVIRONMENTAL PROTECT.,,2019,200639659
DEPARTMENT OF FINANCE,ADMINISTRATION,2019,49015965
DEPARTMENT OF FINANCE,ASSESSMENTS,2019,886453
DEPARTMENT OF FINANCE,AUDIT,2019,4302076
DEPARTMENT OF FINANCE,CITY COLLECTOR,2019,2553464
DEPARTMENT OF FINANCE,CITY REGISTER,2019,4607772
DEPARTMENT OF FINANCE,CITY SHERIFF,2019,17162109
DEPARTMENT OF FINANCE,ENFORCEMENT,2019,7474156
DEPARTMENT OF FINANCE,EXECUTIVE,2019,18066057
DEPARTMENT OF FINANCE,LEGAL AFFAIRS,2019,6516192
DEPARTMENT OF FINANCE,MANAGEMENT INFORMATION SERVICE,2019,36335668
DEPARTMENT OF FINANCE,PARKING VIOLATIONS OPERATIONS,2019,221326
DEPARTMENT OF FINANCE,PROCESSING,2019,791624
DEPARTMENT OF FINANCE,PROPERTY EXECUTIVE,2019,21785884
DEPARTMENT OF FINANCE,REVENUE OPERATIONS COLLECTIONS,2019,7577483
DEPARTMENT OF FINANCE,REVENUE OPERATIONS EXECUTIVE,2019,5123288
DEPARTMENT OF FINANCE,REVIEW AND SUPPORT,2019,280505
DEPARTMENT OF FINANCE,REV OP BUSINESS TAX REVENUE,2019,774288
DEPARTMENT OF FINANCE,REV OPER REVENUE ACCOUNTING,2019,5185619
DEPARTMENT OF FINANCE,TAX PAYER COMPLIANCE,2019,9158594
DEPARTMENT OF FINANCE,,2019,101226237
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,ADMINISTRATION,2019,200400408
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,BIOSTATISTICS,2019,8662399
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,CHIEF MEDICAL EXAMINER,2019,87652800
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,DISTRICT SERVICES,2019,9756459
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,ENVIRONMENTAL HEALTH SERVICES,2019,119295941
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,EPIDEMIOLOGY AND PREVENTION,2019,311557547
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,LABORATORIES,2019,10191625
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,LEGAL,2019,9733319
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,MATERNAL & CHILD HEALTH,2019,164313643
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,MENTAL HEALTH SERVICES,2019,464107112
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,OFFICE OF THE COMMISSIONER,2019,4748021
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,OPERATIONS SUPPORT,2019,20946950
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,PRISON HEALTH SERVICES,2019,31539250
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,,2019,306590772
DEPARTMENT OF HOMELESS SERVICES,Administration,2019,75809817
DEPARTMENT OF HOMELESS SERVICES,Adult Services,2019,844684090
DEPARTMENT OF HOMELESS SERVICES,Family Services,2019,1281457824
DEPARTMENT OF HOMELESS SERVICES,MRCC,2019,25785398
DEPARTMENT OF HOMELESS SERVICES,Public & Private Partnership,2019,2321
DEPARTMENT OF HOMELESS SERVICES,Security,2019,10413704
DEPARTMENT OF HOMELESS SERVICES,Street Homeless Solutions,2019,2807378
DEPARTMENT OF HOMELESS SERVICES,,2019,8833234
DEPARTMENT OF INFO TECH & TELECOMM,311/NYC.GOV OPERATIONS,2019,45680361
DEPARTMENT OF INFO TECH & TELECOMM,Application Development Management,2019,42464662
DEPARTMENT OF INFO TECH & TELECOMM,CHIEF OF STAFF,2019,7497
DEPARTMENT OF INFO TECH & TELECOMM,CITYWIDE SUPPORT,2019,77264529
DEPARTMENT OF INFO TECH & TELECOMM,COMMISSIONER'S OFFICE,2019,9856644
DEPARTMENT OF INFO TECH & TELECOMM,Cyber Security,2019,3881655
DEPARTMENT OF INFO TECH & TELECOMM,Division of Administration,2019,160912144
DEPARTMENT OF INFO TECH & TELECOMM,ECTP,2019,104453560
DEPARTMENT OF INFO TECH & TELECOMM,Enterprise & Solution Architecture,2019,3972223
DEPARTMENT OF INFO TECH & TELECOMM,First Deputy Commissioner's Office,2019,756247
DEPARTMENT OF INFO TECH & TELECOMM,GENERAL COUNSEL,2019,7231258
DEPARTMENT OF INFO TECH & TELECOMM,HHS Connect,2019,0
DEPARTMENT OF INFO TECH & TELECOMM,NYC Cyber Command,2019,7273474
DEPARTMENT OF INFO TECH & TELECOMM,NYC MEDIA GROUP,2019,33843563
DEPARTMENT OF INFO TECH & TELECOMM,Service Management,2019,7284071
DEPARTMENT OF INFO TECH & TELECOMM,Technology Development Corporation,2019,3875864
DEPARTMENT OF INFO TECH & TELECOMM,TECHNOLOGY SERVICES,2019,208275727
DEPARTMENT OF INFO TECH & TELECOMM,,2019,30357575
DEPARTMENT OF INVESTIGATION,BACKGROUND COMPLAINTS FINGPRT,2019,1401874
DEPARTMENT OF INVESTIGATION,EXECUTIVE,2019,3601414
DEPARTMENT OF INVESTIGATION,INSPECTOR GENERAL,2019,8583213
DEPARTMENT OF INVESTIGATION,INSPECTOR GENERAL-IC,2019,10665009
DEPARTMENT OF INVESTIGATION,INVESTIGATIONS MANAGMENT,2019,1000
DEPARTMENT OF INVESTIGATION,MANAGEMENT+ADMIN,2019,8745271
DEPARTMENT OF INVESTIGATION,,2019,21500050
DEPARTMENT OF PARKS AND RECREATION,BRONX OPERATIONS,2019,32843773
DEPARTMENT OF PARKS AND RECREATION,BRONX RECREATION,2019,3527164
DEPARTMENT OF PARKS AND RECREATION,BROOKLYN OPERATIONS,2019,43328063
DEPARTMENT OF PARKS AND RECREATION,BROOKLYN RECREATION,2019,4284332
DEPARTMENT OF PARKS AND RECREATION,CAPITAL PROJECTS,2019,49109936
DEPARTMENT OF PARKS AND RECREATION,CENTRAL OPERATIONS,2019,104458894
DEPARTMENT OF PARKS AND RECREATION,CENTRAL RECREATION,2019,4960034
DEPARTMENT OF PARKS AND RECREATION,CHIEF OF CONCESSIONS,2019,920489
DEPARTMENT OF PARKS AND RECREATION,CITYWIDE SERVICES,2019,1796103
DEPARTMENT OF PARKS AND RECREATION,COMMISSIONER PARKS + RECREAT,2019,473037
DEPARTMENT OF PARKS AND RECREATION,DEP COMMISSIONER OF OPERATIONS,2019,280640
DEPARTMENT OF PARKS AND RECREATION,DEPUTY COMMISSIONER-PLANNING,2019,2964495
DEPARTMENT OF PARKS AND RECREATION,DEPUTY COMM OF MGMT,2019,46757484
DEPARTMENT OF PARKS AND RECREATION,EXECUTIVE MGMT AND ADMIN SVCS,2019,174576
DEPARTMENT OF PARKS AND RECREATION,FIVE BORO,2019,24903967
DEPARTMENT OF PARKS AND RECREATION,MANHATTAN OPERATIONS,2019,47391616
DEPARTMENT OF PARKS AND RECREATION,MANHATTAN RECREATION,2019,7703477
DEPARTMENT OF PARKS AND RECREATION,QUEENS OPERATIONS,2019,47450489
DEPARTMENT OF PARKS AND RECREATION,QUEENS RECREATION,2019,4721296
DEPARTMENT OF PARKS AND RECREATION,STATEN ISLAND OPERATIONS,2019,21081997
DEPARTMENT OF PARKS AND RECREATION,STATEN ISLAND RECREATION,2019,1993882
DEPARTMENT OF PARKS AND RECREATION,URBAN PARK SERVICES,2019,33783332
DEPARTMENT OF PARKS AND RECREATION,,2019,84096539
DEPARTMENT OF PROBATION,ASSIST-DIR-BRONX-FAM+ADULT SER,2019,1394310
DEPARTMENT OF PROBATION,ASSIST-DIR-KINGS-FAM+ADULT SER,2019,13230981
DEPARTMENT OF PROBATION,ASSIST-DIR-MAN-FAM + ADULT SER,2019,36604518
DEPARTMENT OF PROBATION,OFFICE OF THE DIRECTOR,2019,18853439
DEPARTMENT OF PROBATION,SUPPLEMENTARY PROBATION SERV,2019,7992851
DEPARTMENT OF PROBATION,,2019,31976843
DEPARTMENT OF RECORDS & INFORMATION SVS,ADMINISTRATION,2019,5727596
DEPARTMENT OF RECORDS & INFORMATION SVS,GOVERNMENT INFO SERV. RECORDS,2019,172201
DEPARTMENT OF RECORDS & INFORMATION SVS,GOVERNMENT INFO SERV-REFERENCE,2019,157452
DEPARTMENT OF RECORDS & INFORMATION SVS,PLANNING + MANAGEMENT-RECORDS,2019,706932
DEPARTMENT OF RECORDS & INFORMATION SVS,PUBLIC INFO SERV-GENERAL REF,2019,1429517
DEPARTMENT OF RECORDS & INFORMATION SVS,,2019,-55019
DEPARTMENT OF SANITATION,ADMINISTRATION,2019,49318350
DEPARTMENT OF SANITATION,AUXILIARY FIELD & FACILITY,2019,1928394
DEPARTMENT OF SANITATION,BKLYN EAST DIST #13,2019,6096633
DEPARTMENT OF SANITATION,BKLYN EAST DIST #14,2019,8328532
DEPARTMENT OF SANITATION,BKLYN EAST DIST #15,2019,10446169
DEPARTMENT OF SANITATION,BKLYN EAST DIST #16,2019,5800982
DEPARTMENT OF SANITATION,BKLYN EAST DIST #17,2019,8619240
DEPARTMENT OF SANITATION,BKLYN EAST DIST #18,2019,11460054
DEPARTMENT OF SANITATION,BKLYN EAST DIST #9,2019,5680681
DEPARTMENT OF SANITATION,BKLYN NORTH BORO OFFICE ADMIN,2019,4361793
DEPARTMENT OF SANITATION,BKLYN NORTH DIST #1,2019,8957666
DEPARTMENT OF SANITATION,BKLYN NORTH DIST #2,2019,5915890
DEPARTMENT OF SANITATION,BKLYN NORTH DIST #3,2019,7838222
DEPARTMENT OF SANITATION,BKLYN NORTH DIST #4,2019,6216220
DEPARTMENT OF SANITATION,BKLYN NORTH DIST #5,2019,7775687
DEPARTMENT OF SANITATION,BKLYN NORTH DIST #8,2019,6914789
DEPARTMENT OF SANITATION,BKLYN WEST BORO OFFICE ADMIN,2019,7879106
DEPARTMENT OF SANITATION,BKLYN WEST DIST # 10,2019,10029694
DEPARTMENT OF SANITATION,BKLYN WEST DIST 11,2019,10613688
DEPARTMENT OF SANITATION,BKLYN WEST DIST 12,2019,9351240
DEPARTMENT OF SANITATION,BKLYN WEST DIST # 6,2019,6664905
DEPARTMENT OF SANITATION,BKLYN WEST DIST # 7,2019,8359912
DEPARTMENT OF SANITATION,BRONX EAST BORO OFFICE ADMIN,2019,7322172
DEPARTMENT OF SANITATION,BRONX EAST DIST # 10,2019,5887676
DEPARTMENT OF SANITATION,BRONX EAST DIST # 11,2019,5792291
DEPARTMENT OF SANITATION,BRONX EAST DIST # 12,2019,6965154
DEPARTMENT OF SANITATION,BRONX EAST DIST # 6,2019,4901098
DEPARTMENT OF SANITATION,BRONX EAST DIST # 9,2019,5358545
DEPARTMENT OF SANITATION,BRONX WEST DIST # 1,2019,3639489
DEPARTMENT OF SANITATION,BRONX WEST DIST # 2,2019,3994580
DEPARTMENT OF SANITATION,BRONX WEST DIST # 3,2019,2130591
DEPARTMENT OF SANITATION,BRONX WEST DIST # 4,2019,4739023
DEPARTMENT OF SANITATION,BRONX WEST DIST # 5,2019,4646730
DEPARTMENT OF SANITATION,BRONX WEST DIST # 7,2019,4910571
DEPARTMENT OF SANITATION,BRONX WEST DIST # 8,2019,4993627
DEPARTMENT OF SANITATION,BRONX WEST MECHANICAL BROOMS,2019,3377574
DEPARTMENT OF SANITATION,BUILDING MANAGEMENT,2019,29693120
DEPARTMENT OF SANITATION,CAPITAL BUDGET,2019,736035
DEPARTMENT OF SANITATION,CHARTER MANDATED SNOW BUDGET,2019,107240714
DEPARTMENT OF SANITATION,CLEAN + COLLECTION ADMIN,2019,375487636
DEPARTMENT OF SANITATION,CLEANING & COLL EXEC MGMT,2019,251365270
DEPARTMENT OF SANITATION,COMMUNITY SERVICES,2019,2309135
DEPARTMENT OF SANITATION,DEPT ADVOCATE/EMPLOYMENT MATTE,2019,792713
DEPARTMENT OF SANITATION,ENFORCEMENT,2019,19380376
DEPARTMENT OF SANITATION,EXECUTIVE MANAGEMENT,2019,93171645
DEPARTMENT OF SANITATION,HUMAN RESOURCES ADMINISTRATION,2019,2885720
DEPARTMENT OF SANITATION,LEGAL AFFAIRS,2019,3134351
DEPARTMENT OF SANITATION,LOT CLEANING,2019,15583096
DEPARTMENT OF SANITATION,MAN EAST DIST # 10,2019,5470497
DEPARTMENT OF SANITATION,MAN EAST DIST # 11,2019,4654284
DEPARTMENT OF SANITATION,MAN EAST DIST # 3,2019,7325411
DEPARTMENT OF SANITATION,MAN EAST DIST # 5,2019,4662447
DEPARTMENT OF SANITATION,MAN EAST DIST # 6,2019,6776788
DEPARTMENT OF SANITATION,MAN EAST DIST # 8,2019,10703833
DEPARTMENT OF SANITATION,MAN EAST MECHANICAL BROOMS,2019,3116845
DEPARTMENT OF SANITATION,MAN WEST BORO OFFICE ADMIN,2019,5555779
DEPARTMENT OF SANITATION,MAN WEST DIST # 1,2019,4442448
DEPARTMENT OF SANITATION,MAN WEST DIST # 12,2019,9181018
DEPARTMENT OF SANITATION,MAN WEST DIST # 2,2019,5908880
DEPARTMENT OF SANITATION,MAN WEST DIST # 4,2019,5337677
DEPARTMENT OF SANITATION,MAN WEST DIST # 7,2019,9952877
DEPARTMENT OF SANITATION,MAN WEST DIST # 9,2019,4495094
DEPARTMENT OF SANITATION,MAN WEST MECHANICAL BROOMS,2019,2760087
DEPARTMENT OF SANITATION,MARINE TRANSPORT DIVISION,2019,169695
DEPARTMENT OF SANITATION,MARINE UNLOADING,2019,6019137
DEPARTMENT OF SANITATION,MOTOR EQUIPMENT ADMINISTRATION,2019,96624517
DEPARTMENT OF SANITATION,MTS DIV,2019,16196452
DEPARTMENT OF SANITATION,QUEENS NORTH BORO OFFICE ADMIN,2019,9836347
DEPARTMENT OF SANITATION,QUEENS NORTH DIST # 11,2019,10011318
DEPARTMENT OF SANITATION,QUEENS NORTH DIST # 7,2019,13051491
DEPARTMENT OF SANITATION,QUEENS NORTH DIST # 8,2019,9762234
DEPARTMENT OF SANITATION,QUEENS SOUTH BORO OFFICE ADMIN,2019,1207043
DEPARTMENT OF SANITATION,QUEENS SOUTH DIST #10,2019,8698751
DEPARTMENT OF SANITATION,QUEENS SOUTH DIST #12,2019,12092948
DEPARTMENT OF SANITATION,QUEENS SOUTH DIST #13,2019,13548343
DEPARTMENT OF SANITATION,QUEENS SOUTH DISTRICT #14,2019,7309923
DEPARTMENT OF SANITATION,QUEENS WEST BORO OFFICE ADMIN,2019,6479423
DEPARTMENT OF SANITATION,QUEENS WEST DIST #1,2019,10127339
DEPARTMENT OF SANITATION,QUEENS WEST DIST #2,2019,6329931
DEPARTMENT OF SANITATION,QUEENS WEST DIST #3,2019,7122392
DEPARTMENT OF SANITATION,QUEENS WEST DIST #4,2019,6572145
DEPARTMENT OF SANITATION,QUEENS WEST DIST #5,2019,11484727
DEPARTMENT OF SANITATION,QUEENS WEST DIST #6,2019,6073501
DEPARTMENT OF SANITATION,QUEENS WEST DIST #9,2019,7526577
DEPARTMENT OF SANITATION,SOLID WASTE MGMT AND PLANNING,2019,3958198
DEPARTMENT OF SANITATION,SOLID WASTE MGNT & LANDFILL PLANNING,2019,72789354
DEPARTMENT OF SANITATION,STATEN ISLAD BORO OFFICE ADMIN,2019,3295657
DEPARTMENT OF SANITATION,STATEN ISLAND DIST # 1,2019,15267268
DEPARTMENT OF SANITATION,STATEN ISLAND DIST #2,2019,13069705
DEPARTMENT OF SANITATION,STATEN ISLAND DIST #3,2019,14567003
DEPARTMENT OF SANITATION,SUPPORT OPERATIONS ENGR,2019,8090361
DEPARTMENT OF SANITATION,WASTE DISPOSAL ADMINISTRATION,2019,8112040
DEPARTMENT OF SANITATION,"WASTE PREVENTION, REUSE & RECYCLING",2019,26994449
DEPARTMENT OF SANITATION,,2019,25690653
DEPARTMENT OF SMALL BUSINESS SERVICES,ADMINISTRATIVE SERVICES,2019,12572342
DEPARTMENT OF SMALL BUSINESS SERVICES,DEPT OF BUSINESS SERVICES,2019,90646193
DEPARTMENT OF SMALL BUSINESS SERVICES,ECONOMIC DEVELOPEMENT CORP,2019,70915800
DEPARTMENT OF SMALL BUSINESS SERVICES,FINANCIAL AND ECONOMIC OPP,2019,2450765
DEPARTMENT OF SMALL BUSINESS SERVICES,NEIGHBORHOOD ECONOMIC DEVELOPMENT,2019,6818844
DEPARTMENT OF SMALL BUSINESS SERVICES,WORKFORCE INVESTMENT ACT,2019,47926962
DEPARTMENT OF SMALL BUSINESS SERVICES,,2019,96770514
DEPARTMENT OF SOCIAL SERVICES,ADMIN/COMMR FIRST DEPUTY,2019,3084945
DEPARTMENT OF SOCIAL SERVICES,AUDIT SERVICES,2019,3183653
DEPARTMENT OF SOCIAL SERVICES,Benefits Reengineering,2019,984516
DEPARTMENT OF SOCIAL SERVICES,BUDGET ADMINISTRATION,2019,225841536
DEPARTMENT OF SOCIAL SERVICES,CEO - Evaluation,2019,1015743
DEPARTMENT OF SOCIAL SERVICES,Citywide Health Insurance Access,2019,373016
DEPARTMENT OF SOCIAL SERVICES,Community Affairs and Immigrant Services,2019,15427240
DEPARTMENT OF SOCIAL SERVICES,COMMUNITY AFFAIRS UNIT,2019,566500
DEPARTMENT OF SOCIAL SERVICES,COMMUNITY CARE SENIOR SERV FLD,2019,58230058
DEPARTMENT OF SOCIAL SERVICES,"Crisis, Disaster + Survivors",2019,166766365
DEPARTMENT OF SOCIAL SERVICES,CUSTOMIZED ASSISTANCE SERVICE,2019,16987850
DEPARTMENT OF SOCIAL SERVICES,DIVISION OF AIDS SERVICES,2019,190930673
DEPARTMENT OF SOCIAL SERVICES,Fair Hearing,2019,17663676
DEPARTMENT OF SOCIAL SERVICES,FIA Employment and Contract Services,2019,298664658
DEPARTMENT OF SOCIAL SERVICES,FIA Executive Administration,2019,1961566
DEPARTMENT OF SOCIAL SERVICES,FIA Homeless Diversion,2019,86774968
DEPARTMENT OF SOCIAL SERVICES,FOOD STAMPS,2019,82106273
DEPARTMENT OF SOCIAL SERVICES,GENERAL COUNSEL/LEGAL AFFAIRS,2019,16425608
DEPARTMENT OF SOCIAL SERVICES,GENERAL SUPPORT SERVICES,2019,198640197
DEPARTMENT OF SOCIAL SERVICES,HASA HIV/AIDS SERVICES ADMINISTRATION,2019,62704363
DEPARTMENT OF SOCIAL SERVICES,HHS Connect,2019,3412587
DEPARTMENT OF SOCIAL SERVICES,Housing and Services,2019,5000000
DEPARTMENT OF SOCIAL SERVICES,Housing & Homeless Services/Initiatives,2019,83754171
DEPARTMENT OF SOCIAL SERVICES,*INACT ADULT SVCS ADULT INSTNS,2019,6385718
DEPARTMENT OF SOCIAL SERVICES,INCOME SUPPORT FIELD OPERATION,2019,149083319
DEPARTMENT OF SOCIAL SERVICES,INCOME SUPPORT PROGRAM,2019,1745483961
DEPARTMENT OF SOCIAL SERVICES,INVESTIGATION DIVISION,2019,80284715
DEPARTMENT OF SOCIAL SERVICES,Legal Assistance Initiatives,2019,5520000
DEPARTMENT OF SOCIAL SERVICES,MANAGEMENT INFORMATION SYSTEMS,2019,59989871
DEPARTMENT OF SOCIAL SERVICES,MAP-MEDICAL ASSISTANCE PROGRAM,2019,5940994723
DEPARTMENT OF SOCIAL SERVICES,Mayor's Action Plan Outreach Team,2019,296280
DEPARTMENT OF SOCIAL SERVICES,MICSA-Home Care Services,2019,32612158
DEPARTMENT OF SOCIAL SERVICES,MICSA-Medicaid Eligibility,2019,47799760
DEPARTMENT OF SOCIAL SERVICES,MICSA-Medical Assistance Program,2019,5965563
DEPARTMENT OF SOCIAL SERVICES,MICSA-Program Support,2019,6800975
DEPARTMENT OF SOCIAL SERVICES,MUNICIPAL IDENTIFICATION CARD,2019,20923469
DEPARTMENT OF SOCIAL SERVICES,OAO Client Advocacy,2019,164016
DEPARTMENT OF SOCIAL SERVICES,OAO Community Outreach,2019,754880
DEPARTMENT OF SOCIAL SERVICES,Office of Child Support Enforcement,2019,36650287
DEPARTMENT OF SOCIAL SERVICES,OFFICE OF COMMUNICATIONS AND MARKETING,2019,16559092
DEPARTMENT OF SOCIAL SERVICES,OFFICE OF CONTRACTS,2019,8644443
DEPARTMENT OF SOCIAL SERVICES,Office of Evaluation and Research,2019,772348
DEPARTMENT OF SOCIAL SERVICES,OFFICE OF FINANCE,2019,1067455
DEPARTMENT OF SOCIAL SERVICES,OFFICE OF FINANICAL MANAGEMENT,2019,7051719
DEPARTMENT OF SOCIAL SERVICES,OFFICE OF FISCAL OPERATIONS,2019,13727481
DEPARTMENT OF SOCIAL SERVICES,OFFICE OF INTERGVTL AFFAIRS,2019,7950345
DEPARTMENT OF SOCIAL SERVICES,Office of Police Operations,2019,2936959
DEPARTMENT OF SOCIAL SERVICES,Office of Policy Procedures & Training,2019,7800595
DEPARTMENT OF SOCIAL SERVICES,Office of Program Accountability,2019,455666
DEPARTMENT OF SOCIAL SERVICES,Office of Revenue and Admin (ORA),2019,11190456
DEPARTMENT OF SOCIAL SERVICES,OUTREACH REHOUSING & LANDLORD MANAGEMENT,2019,28628064
DEPARTMENT OF SOCIAL SERVICES,PERSONNEL ADMINISTRATION,2019,935050
DEPARTMENT OF SOCIAL SERVICES,PERSONNEL SERVICES,2019,15440115
DEPARTMENT OF SOCIAL SERVICES,Public Engagement,2019,10402244
DEPARTMENT OF SOCIAL SERVICES,PUBLIC/PRIVATE PARTNERSHIPS,2019,423774
DEPARTMENT OF SOCIAL SERVICES,PURCHASING MATERIALS MANAGEMNT,2019,82434
DEPARTMENT OF SOCIAL SERVICES,Quality Assurance & Fiscal Integrity,2019,6639148
DEPARTMENT OF SOCIAL SERVICES,SAVE,2019,1252000
DEPARTMENT OF SOCIAL SERVICES,,2019,86652781
DEPARTMENT OF TRANSPORTATION,ACCOUNTING MANAGEMENT,2019,14343969
DEPARTMENT OF TRANSPORTATION,ARTERIAL HIGHWAYS MAINTENANCE,2019,26907381
DEPARTMENT OF TRANSPORTATION,BOROUGH ENGINEERING,2019,25951936
DEPARTMENT OF TRANSPORTATION,BRIDGE ENGINEERING REVIEW & SUPPORT,2019,356731
