agency_name,responsibility_center_name,fiscal_year,total_budget
CITY COUNCIL,CMTEE ON ENVIRON PROTECTION,2017,2
CITY COUNCIL,CMTEE ON GOV'T OPERATIONS,2017,2
CITY COUNCIL,CMTEE ON HIGHER EDUCATION,2017,2
CITY COUNCIL,CMTEE ON HOUSING & BUILDINGS,2017,1
CITY COUNCIL,CMTEE ON HOUSING + BUILDINGS,2017,1
CITY COUNCIL,CMTEE ON INT'L INTERGROUP,2017,1
CITY COUNCIL,CMTEE ON LOWER MANHATTAN REDEVELOPMENT,2017,2
CITY COUNCIL,CMTEE ON PARKS REC REC + CULT,2017,1
CITY COUNCIL,CMTEE ON RULES PRIV & ELECT,2017,1
CITY COUNCIL,CMTEE ON RULES PRIV + ELECT,2017,1
CITY COUNCIL,CMTEE ON STANDARDS & ETHICS,2017,2
CITY COUNCIL,CMTEE ON STATE AND FED LEG,2017,2
CITY COUNCIL,COMM FIRE & CRIM JUSTICE OTPS,2017,1
CITY COUNCIL,COMMITTEE EDUCATION,2017,1
CITY COUNCIL,COMMITTEE ON CIVIL RIGHTS,2017,2
CITY COUNCIL,COMMITTEE ON CONSUMER AFFAIRS,2017,2
CITY COUNCIL,COMMITTEE ON CONTRACTS,2017,2
CITY COUNCIL,COMMITTEE ON EDUCATION,2017,1
CITY COUNCIL,COMMITTEE ON FINANCE,2017,2
CITY COUNCIL,COMMITTEE ON GENERAL WELFARE,2017,2
CITY COUNCIL,COMMITTEE ON HEALTH,2017,2
CITY COUNCIL,COMMITTEE ON JUVENILE JUSTICE,2017,2
CITY COUNCIL,COMMITTEE ON LAND USE,2017,2
CITY COUNCIL,COMMITTEE ON OVERSIGHT & INVESTIGATIONS,2017,2
CITY COUNCIL,COMMITTEE ON PUBLIC SAFETY,2017,2
CITY COUNCIL,COMMITTEE ON SANITATION & SOLIDWASTE MGT,2017,2
CITY COUNCIL,COMMITTEE ON THE AGING,2017,2
CITY COUNCIL,COMMITTEE ON TRANSPORTATION,2017,2
CITY COUNCIL,COMMITTEE ON WOMEN'S ISSUES,2017,2
CITY COUNCIL,COMMITTEE ON YOUTH SERVICES,2017,2
CITY COUNCIL,COMMITTEE STAFFING,2017,8703023
CITY COUNCIL,COMM ON FIRE & CRIM JUSTICE,2017,1
CITY COUNCIL,COUNCIL MEMBERS,2017,23445500
CITY COUNCIL,COUNCIL SERVICES DIVISION,2017,9951565
CITY COUNCIL,"CULT. AFFAIRS, LIB. & INT'L INTGRP. REL",2017,2
CITY COUNCIL,"MEN HLTH, RET, ALC,DRUG ABUSE & DIS SVCS",2017,2
CITY COUNCIL,OTPS CENTRAL STAFF,2017,10641066
CITY COUNCIL,OTPS COUNCIL MEMBERS,2017,5778814
CITY COUNCIL,,2017,2503677
CITY UNIVERSITY OF NEW YORK,BRONX COMMUNITY COLL,2017,87388965
CITY UNIVERSITY OF NEW YORK,CENTRALIZED COSTS,2017,351469325
CITY UNIVERSITY OF NEW YORK,HOSTOS COMMUNITY COLL,2017,60862040
CITY UNIVERSITY OF NEW YORK,HUNTER CAMPUS SCHOOLS,2017,16068598
CITY UNIVERSITY OF NEW YORK,KINGSBOROUGH COMMUNITY COLL,2017,104479890
CITY UNIVERSITY OF NEW YORK,LA GUARDIA COMMUNITY COLL,2017,124553222
CITY UNIVERSITY OF NEW YORK,MANHATTAN COMMUNITY COLLEGE,2017,164959822
CITY UNIVERSITY OF NEW YORK,NEW COMMUNITY COLLEGE,2017,21232564
CITY UNIVERSITY OF NEW YORK,QUEENSBOROUGH COMMUNITY COLL,2017,101455254
CITY UNIVERSITY OF NEW YORK,SENIOR COLLEGES,2017,35000000
CITY UNIVERSITY OF NEW YORK,,2017,4826930
CIVILIAN COMPLAINT REVIEW BOARD,CIVILIAN COMPLAINT REVIEW BRD.,2017,10697345
CIVILIAN COMPLAINT REVIEW BOARD,,2017,5176866
CIVIL SERVICE COMMISSION,ADMINISTRATIVE-OTPS,2017,75067
CIVIL SERVICE COMMISSION,EXECUTIVE,2017,950796
COMMISSION ON HUMAN RIGHTS,AGENCY OPERATIONS,2017,10982261
COMMISSION ON HUMAN RIGHTS,,2017,-3100
CONFLICTS OF INTEREST BOARD,DEPARTMENTAL OPERATIONS,2017,2325294
CONFLICTS OF INTEREST BOARD,,2017,107697
DEBT SERVICE,INTEREST ON FUNDED DEBT,2017,1280341027
DEBT SERVICE,INTEREST ON TEMPORARY DEBT,2017,0
DEBT SERVICE,REDEMPTION OF FUNDED DEBT,2017,2508226270
DEBT SERVICE,,2017,2091463559
DEPARTMENT FOR THE AGING,ADMIN FISCAL AND BUDGET,2017,2410612
DEPARTMENT FOR THE AGING,BUREAU OF COMMUNITY SERVICES,2017,8404051
DEPARTMENT FOR THE AGING,CITY WIDE,2017,279859326
DEPARTMENT FOR THE AGING,CONTRACT MANAGEMENT SERVICES,2017,1170817
DEPARTMENT FOR THE AGING,EXECUTIVE,2017,19128617
DEPARTMENT FOR THE AGING,FOSTER GRANDPARENTS,2017,1831333
