agency_name,responsibility_center_name,fiscal_year,total_budget
ADMIN FOR CHILDREN'S SERVICES,ACS ADMINISTRATION,2017,350548940
ADMIN FOR CHILDREN'S SERVICES,ADOPTION SERVICES,2017,554633252
ADMIN FOR CHILDREN'S SERVICES,ALTERNATIVES TO DETENTION,2017,17648149
ADMIN FOR CHILDREN'S SERVICES,CHILD CARE SERVICES,2017,1858449474
ADMIN FOR CHILDREN'S SERVICES,CHILD WELFARE SUPPORT,2017,101333502
ADMIN FOR CHILDREN'S SERVICES,FOSTER CARE SERVICES,2017,1333361550
ADMIN FOR CHILDREN'S SERVICES,HEAD START,2017,351355244
ADMIN FOR CHILDREN'S SERVICES,JUVENILE JUSTICE SUPPORT,2017,22563296
ADMIN FOR CHILDREN'S SERVICES,NON-SECURE DETENTION,2017,35461063
ADMIN FOR CHILDREN'S SERVICES,OCFS RESIDENTIAL PLACEMENTS,2017,250662242
ADMIN FOR CHILDREN'S SERVICES,PREVENTIVE SERVICES,2017,525433680
ADMIN FOR CHILDREN'S SERVICES,PROTECTIVE SERVICES,2017,529219456
ADMIN FOR CHILDREN'S SERVICES,,2017,26275874
BOARD OF CORRECTION,BOARD OF CORRECTION,2017,4992731
BOARD OF CORRECTION,,2017,43680
BOARD OF ELECTIONS,CHIEF CLERK - BRONX,2017,4098866
BOARD OF ELECTIONS,CHIEF CLERK - BROOKLYN,2017,5930654
BOARD OF ELECTIONS,CHIEF CLERK - MANHATTAN,2017,5391846
BOARD OF ELECTIONS,CHIEF CLERK - QUEENS,2017,4653788
BOARD OF ELECTIONS,CHIEF CLERK - RICHMOND,2017,2261198
BOARD OF ELECTIONS,DATA PROCESSING,2017,5151424
BOARD OF ELECTIONS,DEPARTMENTAL OPERATIONS,2017,193438383
BOARD OF ELECTIONS,EXECUTIVE MANAGEMENT,2017,512594
BOARD OF ELECTIONS,FINANCE OFFICE,2017,45072170
BOARD OF ELECTIONS,,2017,8317439
BOROUGH PRESIDENT BRONX,OFFICE OF THE BOROUGH PRES,2017,16569351
BOROUGH PRESIDENT BRONX,,2017,-5239394
BOROUGH PRESIDENT - BROOKLYN,OFFICE OF THE BOROUGH PRES,2017,12257072
BOROUGH PRESIDENT - BROOKLYN,,2017,767568
BOROUGH PRESIDENT - MANHATTAN,OFFICE OF THE BOROUGH PRESIDEN,2017,9430766
BOROUGH PRESIDENT - MANHATTAN,,2017,0
BOROUGH PRESIDENT - QUEENS,OFFICE OF THE BOROUGH PRES,2017,10614236
BOROUGH PRESIDENT - QUEENS,,2017,60000
BOROUGH PRESIDENT STATEN ISLAND,OFFICE OF THE BORO PRES,2017,13160423
BOROUGH PRESIDENT STATEN ISLAND,,2017,-4484726
BRONX COMMUNITY BOARD #1,BRONX COMMUNITY BOARD #1,2017,593782
BRONX COMMUNITY BOARD #10,BRONX COMMUNITY BOARD #10,2017,615401
BRONX COMMUNITY BOARD #11,BRONX COMMUNITY BOARD # 11,2017,577878
BRONX COMMUNITY BOARD #12,BRONX COMMUNITY BOARD # 12,2017,478429
BRONX COMMUNITY BOARD #2,BRONX COMMUNITY BOARD #2,2017,559202
BRONX COMMUNITY BOARD #3,BRONX COMMUNITY BOARD #3,2017,578806
BRONX COMMUNITY BOARD #4,BRONX COMMUNITY BOARD #4,2017,494826
BRONX COMMUNITY BOARD #5,BRONX COMMUNITY BOARD #5,2017,467822
BRONX COMMUNITY BOARD #5,,2017,21364
BRONX COMMUNITY BOARD #6,BRONX COMMUNITY BOARD #6,2017,473469
BRONX COMMUNITY BOARD #7,BRONX COMMUNITY BOARD NO. 7,2017,582787
BRONX COMMUNITY BOARD #8,BRONX COMMUNITY BOARD #8,2017,574927
BRONX COMMUNITY BOARD #9,BRONX COMMUNITY BOARD #9,2017,579208
BROOKLYN COMMUNITY BOARD #1,BROOKLYN COMMUNITY BOARD #1,2017,613776
BROOKLYN COMMUNITY BOARD #10,BROOKLYN COMMUNITY BOARD NO.10,2017,655750
BROOKLYN COMMUNITY BOARD #11,BROOKLYN COMMUNITY BOARD #11,2017,566639
BROOKLYN COMMUNITY BOARD #12,BROOKLYN COMMUNITY BOARD #12,2017,638319
BROOKLYN COMMUNITY BOARD #13,BROOKLYN COMMUNITY BOARD #13,2017,589735
BROOKLYN COMMUNITY BOARD #14,BROOKLYN COMMUNITY BOARD #14,2017,616959
BROOKLYN COMMUNITY BOARD #15,BROOKLYN COMMUNITY BOARD #15,2017,467822
BROOKLYN COMMUNITY BOARD #16,BROOKLYN COMMUNITY BOARD #16,2017,594400
BROOKLYN COMMUNITY BOARD #17,BROOKLYN COMMUNITY BOARD #17,2017,645091
BROOKLYN COMMUNITY BOARD #18,BROOKLYN COMMUNITY BOARD #18,2017,467826
BROOKLYN COMMUNITY BOARD #2,BROOKLYN COMMUNITY BOARD #2,2017,564770
BROOKLYN COMMUNITY BOARD #3,BROOKLYN COMMUNITY BOARD #3,2017,550697
BROOKLYN COMMUNITY BOARD #4,BROOKLYN COMMUNITY BOARD #4,2017,573346
BROOKLYN COMMUNITY BOARD #5,BROOKLYN COMMUNITY BOARD #5,2017,467822
BROOKLYN COMMUNITY BOARD #6,BROOKLYN COMMUNITY BOARD #6,2017,526680
BROOKLYN COMMUNITY BOARD #7,BROOKLYN COMMUNITY BOARD # 7,2017,484822
BROOKLYN COMMUNITY BOARD #8,BROOKLYN COMMUNITY BOARD #8,2017,597086
BROOKLYN COMMUNITY BOARD #9,BROOKLYN COMMUNITY BOARD #9,2017,587358
BROOKLYN PUBLIC LIBRARY,BROOKLYN PUBLIC LIBRARY,2017,200012391
BROOKLYN PUBLIC LIBRARY,,2017,3900642
BUSINESS INTEGRITY COMMISSION,EXECUTIVE AND OPERATIONS,2017,1251864
BUSINESS INTEGRITY COMMISSION,FINANCE & ADMINISTRATION,2017,6486840
BUSINESS INTEGRITY COMMISSION,LEGAL/ENFRCEMENT/INVESTIGATION,2017,7482659
BUSINESS INTEGRITY COMMISSION,,2017,2110406
CAMPAIGN FINANCE BOARD,EXECUTIVE DIRECTOR,2017,27266538
CAMPAIGN FINANCE BOARD,,2017,2737134
CITY CLERK,EMMANUEL MICHALOS,2017,11407585
CITY CLERK,,2017,-172000
CITY COUNCIL,CMTEE ON CIVIL SERV & LABOR,2017,4
CITY COUNCIL,CMTEE ON ECONOMIC DEVELOPMENT,2017,4
CITY COUNCIL,CMTEE ON ENVIRON PROTECTION,2017,4
CITY COUNCIL,CMTEE ON GOV'T OPERATIONS,2017,4
CITY COUNCIL,CMTEE ON HIGHER EDUCATION,2017,4
CITY COUNCIL,CMTEE ON HOUSING & BUILDINGS,2017,2
CITY COUNCIL,CMTEE ON HOUSING + BUILDINGS,2017,2
CITY COUNCIL,CMTEE ON INT'L INTERGROUP,2017,2
CITY COUNCIL,CMTEE ON LOWER MANHATTAN REDEVELOPMENT,2017,4
CITY COUNCIL,CMTEE ON PARKS REC REC + CULT,2017,2
CITY COUNCIL,CMTEE ON RULES PRIV & ELECT,2017,2
CITY COUNCIL,CMTEE ON RULES PRIV + ELECT,2017,2
CITY COUNCIL,CMTEE ON STANDARDS & ETHICS,2017,4
CITY COUNCIL,CMTEE ON STATE AND FED LEG,2017,4
CITY COUNCIL,COMM FIRE & CRIM JUSTICE OTPS,2017,2
CITY COUNCIL,COMMITTEE EDUCATION,2017,2
CITY COUNCIL,COMMITTEE ON CIVIL RIGHTS,2017,4
CITY COUNCIL,COMMITTEE ON CONSUMER AFFAIRS,2017,4
CITY COUNCIL,COMMITTEE ON CONTRACTS,2017,4
CITY COUNCIL,COMMITTEE ON EDUCATION,2017,2
CITY COUNCIL,COMMITTEE ON FINANCE,2017,4
CITY COUNCIL,COMMITTEE ON GENERAL WELFARE,2017,4
CITY COUNCIL,COMMITTEE ON HEALTH,2017,4
CITY COUNCIL,COMMITTEE ON JUVENILE JUSTICE,2017,4
CITY COUNCIL,COMMITTEE ON LAND USE,2017,4
CITY COUNCIL,COMMITTEE ON OVERSIGHT & INVESTIGATIONS,2017,4
CITY COUNCIL,COMMITTEE ON PUBLIC SAFETY,2017,4
CITY COUNCIL,COMMITTEE ON SANITATION & SOLIDWASTE MGT,2017,4
CITY COUNCIL,COMMITTEE ON THE AGING,2017,4
CITY COUNCIL,COMMITTEE ON TRANSPORTATION,2017,4
CITY COUNCIL,COMMITTEE ON WOMEN'S ISSUES,2017,4
CITY COUNCIL,COMMITTEE ON YOUTH SERVICES,2017,4
CITY COUNCIL,COMMITTEE STAFFING,2017,17526046
CITY COUNCIL,COMM ON FIRE & CRIM JUSTICE,2017,2
CITY COUNCIL,COUNCIL MEMBERS,2017,46891000
CITY COUNCIL,COUNCIL SERVICES DIVISION,2017,19963130
CITY COUNCIL,"CULT. AFFAIRS, LIB. & INT'L INTGRP. REL",2017,4
CITY COUNCIL,"MEN HLTH, RET, ALC,DRUG ABUSE & DIS SVCS",2017,4
CITY COUNCIL,OTPS CENTRAL STAFF,2017,21282132
CITY COUNCIL,OTPS COUNCIL MEMBERS,2017,11357628
CITY COUNCIL,,2017,5027354
CITY UNIVERSITY OF NEW YORK,BRONX COMMUNITY COLL,2017,169832353
CITY UNIVERSITY OF NEW YORK,CENTRALIZED COSTS,2017,701004972
CITY UNIVERSITY OF NEW YORK,HOSTOS COMMUNITY COLL,2017,121264762
CITY UNIVERSITY OF NEW YORK,HUNTER CAMPUS SCHOOLS,2017,32249669
CITY UNIVERSITY OF NEW YORK,KINGSBOROUGH COMMUNITY COLL,2017,208947896
CITY UNIVERSITY OF NEW YORK,LA GUARDIA COMMUNITY COLL,2017,248888107
CITY UNIVERSITY OF NEW YORK,MANHATTAN COMMUNITY COLLEGE,2017,329470322
CITY UNIVERSITY OF NEW YORK,NEW COMMUNITY COLLEGE,2017,42496921
CITY UNIVERSITY OF NEW YORK,QUEENSBOROUGH COMMUNITY COLL,2017,202140897
CITY UNIVERSITY OF NEW YORK,SENIOR COLLEGES,2017,70000000
CITY UNIVERSITY OF NEW YORK,,2017,9146556
CIVILIAN COMPLAINT REVIEW BOARD,CIVILIAN COMPLAINT REVIEW BRD.,2017,21394690
CIVILIAN COMPLAINT REVIEW BOARD,,2017,10353732
CIVIL SERVICE COMMISSION,ADMINISTRATIVE-OTPS,2017,150134
CIVIL SERVICE COMMISSION,EXECUTIVE,2017,1911592
COMMISSION ON HUMAN RIGHTS,AGENCY OPERATIONS,2017,21926242
COMMISSION ON HUMAN RIGHTS,,2017,33356
CONFLICTS OF INTEREST BOARD,DEPARTMENTAL OPERATIONS,2017,4470907
CONFLICTS OF INTEREST BOARD,,2017,211729
DEBT SERVICE,INTEREST ON FUNDED DEBT,2017,2734357812
DEBT SERVICE,INTEREST ON TEMPORARY DEBT,2017,0
DEBT SERVICE,REDEMPTION OF FUNDED DEBT,2017,4238952540
DEBT SERVICE,,2017,3684992740
DEPARTMENT FOR THE AGING,ADMIN FISCAL AND BUDGET,2017,4821224
DEPARTMENT FOR THE AGING,BUREAU OF COMMUNITY SERVICES,2017,16759092
DEPARTMENT FOR THE AGING,CITY WIDE,2017,558378379
DEPARTMENT FOR THE AGING,CONTRACT MANAGEMENT SERVICES,2017,2341634
DEPARTMENT FOR THE AGING,EXECUTIVE,2017,38493472
DEPARTMENT FOR THE AGING,FOSTER GRANDPARENTS,2017,3662666
DEPARTMENT FOR THE AGING,INFORMATION/REFERRAL,2017,2202562
DEPARTMENT FOR THE AGING,OFFICE OF SPECIAL PROJECT,2017,898916
DEPARTMENT FOR THE AGING,PROGRAM AND RESOURCES DEV,2017,9071470
DEPARTMENT FOR THE AGING,PUBLIC INFORMATION,2017,2292764
DEPARTMENT FOR THE AGING,RESEARCH AND PLANNING,2017,2689384
DEPARTMENT FOR THE AGING,,2017,32714
DEPARTMENT OF BUILDINGS,BROOKLYN BOROUGH OFFICE,2017,9670598
DEPARTMENT OF BUILDINGS,CENTRAL INSPECTION,2017,28790938
DEPARTMENT OF BUILDINGS,EXECUTIVE OFFICES,2017,11319640
DEPARTMENT OF BUILDINGS,OPERATIONS AND TECHNICAL,2017,73271444
DEPARTMENT OF BUILDINGS,POLICY AND ADMINISTRATION,2017,50203832
DEPARTMENT OF BUILDINGS,QUEENS BOROUGH OFFICE,2017,19741764
DEPARTMENT OF BUILDINGS,RICHMOND BOROUGH OFFICE,2017,2365790
DEPARTMENT OF BUILDINGS,STATEN ISLAND BOROUGH OFFICE,2017,6260760
DEPARTMENT OF BUILDINGS,,2017,88509496
DEPARTMENT OF CITY PLANNING,DEPT OF CITY PLANNING,2017,64912190
DEPARTMENT OF CITY PLANNING,,2017,14963032
DEPARTMENT OF CITYWIDE ADMIN SERVICE,AGENCY CHIEF CONTRACTING OFFICER,2017,10145874
DEPARTMENT OF CITYWIDE ADMIN SERVICE,BQA LABORATORIES,2017,111363
DEPARTMENT OF CITYWIDE ADMIN SERVICE,CENTRAL STOREHOUSE,2017,63723784
DEPARTMENT OF CITYWIDE ADMIN SERVICE,CITY MESSENGER SERVICE,2017,1562434
DEPARTMENT OF CITYWIDE ADMIN SERVICE,CITY PUBLISHING CENTER,2017,5538872
DEPARTMENT OF CITYWIDE ADMIN SERVICE,CONTRACT ADMIN,2017,753602
DEPARTMENT OF CITYWIDE ADMIN SERVICE,DIVISION OF MUNI SUPPLY SERVICES,2017,6760786
DEPARTMENT OF CITYWIDE ADMIN SERVICE,DIV OF ADMINISTRATION AND SECURITY,2017,9477650
DEPARTMENT OF CITYWIDE ADMIN SERVICE,DMSS PROCUREMENT,2017,5496156
DEPARTMENT OF CITYWIDE ADMIN SERVICE,DRP FINANCIAL SERVICES,2017,0
DEPARTMENT OF CITYWIDE ADMIN SERVICE,ENERGY CONSERVATION,2017,1413431828
DEPARTMENT OF CITYWIDE ADMIN SERVICE,EXECUTIVE AND ADMINISTRATION,2017,62913527
DEPARTMENT OF CITYWIDE ADMIN SERVICE,EXECUTIVE DIVISION,2017,21490423
DEPARTMENT OF CITYWIDE ADMIN SERVICE,FACILITIES MANAGEMENT,2017,229815315
DEPARTMENT OF CITYWIDE ADMIN SERVICE,FACILITIES MGMT & CONST,2017,67805065
DEPARTMENT OF CITYWIDE ADMIN SERVICE,FINANCE AND OPERATIONS,2017,4202705
DEPARTMENT OF CITYWIDE ADMIN SERVICE,FLEET MGMT SERVICES,2017,14071815
DEPARTMENT OF CITYWIDE ADMIN SERVICE,GUIDE A RIDE HANDICAPPED ACCES,2017,400028
DEPARTMENT OF CITYWIDE ADMIN SERVICE,LEASE PAYMENT,2017,183933016
DEPARTMENT OF CITYWIDE ADMIN SERVICE,MGMT INFORMATION SERVICES,2017,16678083
DEPARTMENT OF CITYWIDE ADMIN SERVICE,NY ELECTION PROJECT,2017,0
DEPARTMENT OF CITYWIDE ADMIN SERVICE,PROPERTY MGMT LEASE OUT,2017,581620
DEPARTMENT OF CITYWIDE ADMIN SERVICE,QUALITY ASSURANCE,2017,4477912
DEPARTMENT OF CITYWIDE ADMIN SERVICE,SURPLUS ACTIVITIES,2017,1711429
DEPARTMENT OF CITYWIDE ADMIN SERVICE,TELECOMMUNICATION CONTROL,2017,4057910
DEPARTMENT OF CITYWIDE ADMIN SERVICE,WORKERS EMPLOYMENT PROGRAM,2017,20478
DEPARTMENT OF CITYWIDE ADMIN SERVICE,,2017,261183024
DEPARTMENT OF CONSUMER AFFAIRS,ADJUDICATION,2017,2366572
DEPARTMENT OF CONSUMER AFFAIRS,BUDGET AND ADMINISTRATION,2017,14723373
DEPARTMENT OF CONSUMER AFFAIRS,COMPLAINT/NEIGHBORHOOD OFFICES,2017,1407254
DEPARTMENT OF CONSUMER AFFAIRS,COMPUTER SERVICES,2017,5370548
DEPARTMENT OF CONSUMER AFFAIRS,DISCIPLINARY ADVOCATE,2017,230926
DEPARTMENT OF CONSUMER AFFAIRS,FINANCE+MANAGEMENT,2017,7836208
DEPARTMENT OF CONSUMER AFFAIRS,LICENSE ISSUANCE,2017,8603386
DEPARTMENT OF CONSUMER AFFAIRS,OFFICE OF COMMISSIONER,2017,1950298
DEPARTMENT OF CONSUMER AFFAIRS,OFF.OF.ASST.COM./GEN COUNSEL,2017,917950
DEPARTMENT OF CONSUMER AFFAIRS,PERSONNEL,2017,618906
DEPARTMENT OF CONSUMER AFFAIRS,,2017,37144614
DEPARTMENT OF CORRECTION,ADOLESCENT RECEPTION DETEN CNT,2017,192869260
DEPARTMENT OF CORRECTION,ALTERNATIVES TO INCARCERATION,2017,3194608
DEPARTMENT OF CORRECTION,ANNA M KROSS CENTER,2017,191064472
DEPARTMENT OF CORRECTION,BELLEVUE HOSPITAL PRISON WARD,2017,20568992
DEPARTMENT OF CORRECTION,BNX HOUSE DETENTION FOR MEN,2017,127478
DEPARTMENT OF CORRECTION,BRONX COURT PENS,2017,12571902
DEPARTMENT OF CORRECTION,BROOKLYN COURT PENS,2017,7013424
DEPARTMENT OF CORRECTION,BROOKLYN HOUSE OF DETENT MEN,2017,29041990
DEPARTMENT OF CORRECTION,CAPITAL DEVEL SUPPORT SERVICES,2017,27624782
DEPARTMENT OF CORRECTION,CORRECTION INDUSTRIES,2017,6920226
DEPARTMENT OF CORRECTION,ELMHURST HOSPITAL PRISON WARD,2017,6497618
DEPARTMENT OF CORRECTION,GEORE R VIERNO CENTER,2017,113210765
DEPARTMENT OF CORRECTION,GEORGE MOTCHAN DENTENTION CNTR,2017,169027898
DEPARTMENT OF CORRECTION,HEALTH AFFAIRS SUB ABUSE +EDUC,2017,162594
DEPARTMENT OF CORRECTION,HEALTH MANAGEMENT,2017,6275822
DEPARTMENT OF CORRECTION,INSPECTIONS,2017,2837948
DEPARTMENT OF CORRECTION,INVESTIGATIONS,2017,13476812
DEPARTMENT OF CORRECTION,JAMES A THOMAS CENTER,2017,704292
DEPARTMENT OF CORRECTION,MANAGEMENT BUDGET + PLANNING,2017,251706770
DEPARTMENT OF CORRECTION,MANHATTAN COURT PENS,2017,4723794
DEPARTMENT OF CORRECTION,MANHATTAN DETENTION COMPLEX,2017,117628633
DEPARTMENT OF CORRECTION,NORTH INFIRMARY COMMAND,2017,31529501
DEPARTMENT OF CORRECTION,NYC CORRECTIONAL INSTIT MEN,2017,105130462
DEPARTMENT OF CORRECTION,OFFICE OF THE COMMISSIONER,2017,6156670
DEPARTMENT OF CORRECTION,OPERATIONS,2017,663693630
DEPARTMENT OF CORRECTION,OTIS BANTUM CORRECTIONAL CNTR,2017,136107941
DEPARTMENT OF CORRECTION,PERSONNEL,2017,13439958
DEPARTMENT OF CORRECTION,PROGRAMS,2017,31517804
DEPARTMENT OF CORRECTION,QUEENS COURT PENS,2017,1114000
DEPARTMENT OF CORRECTION,QUEENS HOUSE DETENTION FOR MEN,2017,14460472
DEPARTMENT OF CORRECTION,RI SUPPORT SERVICES,2017,50221782
DEPARTMENT OF CORRECTION,RI TELECOMMUNICATIONS,2017,6488295
DEPARTMENT OF CORRECTION,ROSE M SINGER CENTER,2017,103511312
DEPARTMENT OF CORRECTION,SPECIALIZED SERVICES,2017,51225344
DEPARTMENT OF CORRECTION,SPECIAL OPERATIONS DIVISION,2017,30788415
DEPARTMENT OF CORRECTION,TRAINING ACADEMY,2017,30910265
DEPARTMENT OF CORRECTION,TRANSPORTATION,2017,58599785
DEPARTMENT OF CORRECTION,,2017,130603247
DEPARTMENT OF CULTURAL AFFAIRS,OFFICE OF COMMISSIONER,2017,322814096
DEPARTMENT OF CULTURAL AFFAIRS,,2017,18565443
DEPARTMENT OF DESIGN & CONSTRUCTION,ADMINISTRATION,2017,33601113
DEPARTMENT OF DESIGN & CONSTRUCTION,ARCHITECTURE AND ENGINEERING,2017,15039354
DEPARTMENT OF DESIGN & CONSTRUCTION,EXECUTIVE,2017,73058973
DEPARTMENT OF DESIGN & CONSTRUCTION,INFRASTRUCTURE,2017,74791922
DEPARTMENT OF DESIGN & CONSTRUCTION,STRUCTURES,2017,53785656
DEPARTMENT OF DESIGN & CONSTRUCTION,TECHNICAL SUPPORT,2017,13769612
DEPARTMENT OF DESIGN & CONSTRUCTION,,2017,975930084
DEPARTMENT OF EDUCATION,,2017,44218195769
DEPARTMENT OF EMERGENCY MANAGEMENT,ADMINISTRATION,2017,33891714
DEPARTMENT OF EMERGENCY MANAGEMENT,,2017,69495290
DEPARTMENT OF ENVIRONMENTAL PROTECT.,ACCO,2017,9902468
DEPARTMENT OF ENVIRONMENTAL PROTECT.,AIR NOISE AND HAZ MATERIALS,2017,62910457
DEPARTMENT OF ENVIRONMENTAL PROTECT.,CUSTOMER & CONSERVATION SERV,2017,101131737
DEPARTMENT OF ENVIRONMENTAL PROTECT.,ENGINEERING AUDITS,2017,4132214
DEPARTMENT OF ENVIRONMENTAL PROTECT.,ENVIORNMENTAL ASSESSMENT,2017,20532032
DEPARTMENT OF ENVIRONMENTAL PROTECT.,ENVIORNMENTAL ENGINEERING,2017,69321332
DEPARTMENT OF ENVIRONMENTAL PROTECT.,ENVIRONMENTAL HEALTH AND SAFETY,2017,34966557
DEPARTMENT OF ENVIRONMENTAL PROTECT.,EXECUTIVE + SUPPORT,2017,56628737
DEPARTMENT OF ENVIRONMENTAL PROTECT.,FLEET ADMINISTRATION,2017,17948920
DEPARTMENT OF ENVIRONMENTAL PROTECT.,GIARDIA SURVEILANCE,2017,577286
DEPARTMENT OF ENVIRONMENTAL PROTECT.,HUMAN RESOURCES MGMT,2017,6409824
DEPARTMENT OF ENVIRONMENTAL PROTECT.,LEGAL AND LEGISLATIVE AFFAIRS,2017,52511059
DEPARTMENT OF ENVIRONMENTAL PROTECT.,MANAGEMENT AND BUDGET,2017,81768704
DEPARTMENT OF ENVIRONMENTAL PROTECT.,PUBLIC AFFAIRS,2017,4297210
DEPARTMENT OF ENVIRONMENTAL PROTECT.,WASTEWATER POLLUTION CONTROL,2017,881929219
DEPARTMENT OF ENVIRONMENTAL PROTECT.,WATER AND SEWER OPERATIONS SYS,2017,327239275
DEPARTMENT OF ENVIRONMENTAL PROTECT.,WATER BOARD,2017,1722828
DEPARTMENT OF ENVIRONMENTAL PROTECT.,WATER SUPPLY QUALITY PROTECT,2017,724084177
DEPARTMENT OF ENVIRONMENTAL PROTECT.,,2017,468603269
DEPARTMENT OF FINANCE,ADMINISTRATION,2017,91429537
DEPARTMENT OF FINANCE,ASSESSMENTS,2017,1742108
DEPARTMENT OF FINANCE,AUDIT,2017,8839798
DEPARTMENT OF FINANCE,CITY COLLECTOR,2017,827437
DEPARTMENT OF FINANCE,CITY REGISTER,2017,8943418
DEPARTMENT OF FINANCE,CITY SHERIFF,2017,33749528
DEPARTMENT OF FINANCE,ENFORCEMENT,2017,11629758
DEPARTMENT OF FINANCE,EXECUTIVE,2017,31093906
DEPARTMENT OF FINANCE,LEGAL AFFAIRS,2017,11789062
DEPARTMENT OF FINANCE,MANAGEMENT INFORMATION SERVICE,2017,51334581
DEPARTMENT OF FINANCE,PARKING VIOLATIONS OPERATIONS,2017,894928
DEPARTMENT OF FINANCE,PROCESSING,2017,1533112
DEPARTMENT OF FINANCE,PROPERTY EXECUTIVE,2017,25174236
DEPARTMENT OF FINANCE,REVENUE OPERATIONS COLLECTIONS,2017,12904687
DEPARTMENT OF FINANCE,REVENUE OPERATIONS EXECUTIVE,2017,12277282
DEPARTMENT OF FINANCE,REVIEW AND SUPPORT,2017,520608
DEPARTMENT OF FINANCE,REV OP BUSINESS TAX REVENUE,2017,1910368
DEPARTMENT OF FINANCE,REV OPER REVENUE ACCOUNTING,2017,10488810
DEPARTMENT OF FINANCE,TAX PAYER COMPLIANCE,2017,23042566
DEPARTMENT OF FINANCE,,2017,200597926
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,ADMINISTRATION,2017,338952737
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,BIOSTATISTICS,2017,16975777
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,CHIEF MEDICAL EXAMINER,2017,150217951
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,DISTRICT SERVICES,2017,13405668
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,ENVIRONMENTAL HEALTH SERVICES,2017,196134601
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,EPIDEMIOLOGY AND PREVENTION,2017,625043080
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,LABORATORIES,2017,16749294
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,LEGAL,2017,12459768
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,MATERNAL & CHILD HEALTH,2017,252548934
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,MENTAL HEALTH SERVICES,2017,714459342
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,OFFICE OF THE COMMISSIONER,2017,4722636
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,OPERATIONS SUPPORT,2017,25988281
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,PRISON HEALTH SERVICES,2017,103873061
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,,2017,567277978
DEPARTMENT OF HOMELESS SERVICES,BUREAU OF ADMINISTRATION,2017,115215006
DEPARTMENT OF HOMELESS SERVICES,CENTRAL OPERATIONS,2017,63744582
DEPARTMENT OF HOMELESS SERVICES,FAMILY SHELTER OPERATIONS,2017,1373480679
DEPARTMENT OF HOMELESS SERVICES,SINGLE SHELTER OPERATIONS,2017,1031486031
DEPARTMENT OF HOMELESS SERVICES,,2017,55436247
DEPARTMENT OF INFO TECH & TELECOMM,311/NYC.GOV OPERATIONS,2017,87420400
DEPARTMENT OF INFO TECH & TELECOMM,Application Development Management,2017,85793794
DEPARTMENT OF INFO TECH & TELECOMM,CHIEF OF STAFF,2017,2998336
DEPARTMENT OF INFO TECH & TELECOMM,CHIEF TECHNOLOGY OFFICER,2017,6657014
DEPARTMENT OF INFO TECH & TELECOMM,CITYWIDE SUPPORT,2017,139603471
DEPARTMENT OF INFO TECH & TELECOMM,COMMISSIONER'S OFFICE,2017,15437276
DEPARTMENT OF INFO TECH & TELECOMM,Division of Administration,2017,327171670
DEPARTMENT OF INFO TECH & TELECOMM,ECTP,2017,196392821
DEPARTMENT OF INFO TECH & TELECOMM,First Deputy Commissioner's Office,2017,2418200
DEPARTMENT OF INFO TECH & TELECOMM,GENERAL COUNSEL,2017,15361960
DEPARTMENT OF INFO TECH & TELECOMM,HHS Connect,2017,2071202
DEPARTMENT OF INFO TECH & TELECOMM,NYC MEDIA GROUP,2017,77411925
DEPARTMENT OF INFO TECH & TELECOMM,"Policy, Planning & Communications",2017,90758
DEPARTMENT OF INFO TECH & TELECOMM,Technology Development Corporation,2017,6348332
DEPARTMENT OF INFO TECH & TELECOMM,TECHNOLOGY SERVICES,2017,391766721
DEPARTMENT OF INFO TECH & TELECOMM,,2017,7802933
DEPARTMENT OF INVESTIGATION,BACKGROUND COMPLAINTS FINGPRT,2017,4024357
DEPARTMENT OF INVESTIGATION,EXECUTIVE,2017,5419440
DEPARTMENT OF INVESTIGATION,INSPECTOR GENERAL,2017,10288940
DEPARTMENT OF INVESTIGATION,INSPECTOR GENERAL-IC,2017,27394062
DEPARTMENT OF INVESTIGATION,INVESTIGATIONS MANAGMENT,2017,1255986
DEPARTMENT OF INVESTIGATION,MANAGEMENT+ADMIN,2017,21631560
DEPARTMENT OF INVESTIGATION,,2017,31755912
DEPARTMENT OF PARKS AND RECREATION,BRONX OPERATIONS,2017,59838643
DEPARTMENT OF PARKS AND RECREATION,BRONX RECREATION,2017,7089386
DEPARTMENT OF PARKS AND RECREATION,BROOKLYN OPERATIONS,2017,80660388
DEPARTMENT OF PARKS AND RECREATION,BROOKLYN RECREATION,2017,8542912
DEPARTMENT OF PARKS AND RECREATION,CAPITAL PROJECTS,2017,76794762
DEPARTMENT OF PARKS AND RECREATION,CENTRAL OPERATIONS,2017,157190762
